player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
Marcell Ozuna,2020,29,ATL,NL,2.8,60,267,228,38,77,14,0,18,56,0,0,38,60,0.338,0.431,0.636,1.067,177.0,0.444,175.0,145,3,0,0,1,3
Francisco Lindor#,2020,26,CLE,AL,1.3,60,266,236,30,61,13,0,8,27,6,2,24,41,0.258,0.335,0.415,0.75,104.0,0.329,101.0,98,8,4,0,2,2
Cavan Biggio*,2020,25,TOR,AL,2.2,59,265,220,41,55,16,0,8,28,6,0,41,61,0.25,0.375,0.432,0.807,122.0,0.37,128.0,95,2,3,0,0,0
Whit Merrifield,2020,31,KCR,AL,0.7,60,265,248,38,70,12,0,9,30,12,3,12,33,0.282,0.325,0.44,0.764,105.0,0.344,107.0,109,3,4,0,1,0
Dansby Swanson,2020,26,ATL,NL,2.8,60,264,237,49,65,15,0,10,35,5,0,22,71,0.274,0.345,0.464,0.809,111.0,0.364,115.0,110,0,4,0,1,0
José Abreu,2020,33,CHW,AL,2.7,60,262,240,43,76,15,0,19,60,0,0,18,59,0.317,0.37,0.617,0.987,165.0,0.421,168.0,148,10,3,0,1,1
Freddie Freeman*,2020,30,ATL,NL,3.3,60,262,214,51,73,23,1,13,53,2,0,45,37,0.341,0.462,0.64,1.102,187.0,0.466,190.0,137,6,3,0,0,7
César Hernández#,2020,30,CLE,AL,1.7,58,261,233,35,66,20,0,3,20,0,0,24,57,0.283,0.355,0.408,0.763,109.0,0.337,108.0,95,3,2,1,0,0
Trevor Story,2020,27,COL,NL,2.5,59,259,235,41,68,13,4,11,28,15,3,24,63,0.289,0.355,0.519,0.874,120.0,0.384,120.0,122,5,0,0,0,1
Trea Turner,2020,27,WSN,NL,2.8,59,259,233,46,78,15,4,12,41,12,4,22,36,0.335,0.394,0.588,0.982,162.0,0.421,162.0,137,5,2,0,2,0
Fernando Tatis Jr.,2020,21,SDP,NL,2.8,59,257,224,50,62,11,2,17,45,11,3,27,61,0.277,0.366,0.571,0.937,156.0,0.395,150.0,128,6,5,0,1,1
Carlos Santana#,2020,34,CLE,AL,1.0,60,255,206,34,41,7,0,8,30,0,0,47,43,0.199,0.349,0.35,0.699,93.0,0.32,96.0,72,5,1,0,1,1
Manny Machado,2020,27,SDP,NL,3.0,60,254,224,44,68,12,1,16,47,6,3,26,37,0.304,0.37,0.58,0.95,160.0,0.397,155.0,130,9,0,0,4,4
José Ramírez#,2020,27,CLE,AL,2.5,58,254,219,45,64,16,1,17,46,10,3,31,43,0.292,0.386,0.607,0.993,167.0,0.426,168.0,133,2,3,0,1,0
Trent Grisham*,2020,23,SDP,NL,2.5,59,252,215,42,54,8,3,10,26,10,1,31,64,0.251,0.352,0.456,0.808,123.0,0.359,123.0,98,1,3,1,1,0
Starling Marte,2020,31,2TM,NL,1.6,61,250,228,36,64,14,1,6,27,10,2,12,41,0.281,0.34,0.43,0.77,107.0,0.352,112.0,98,5,9,0,1,1
Starling Marte,2020,31,ARI,NL,1.1,33,138,122,23,38,8,1,2,14,5,2,10,19,0.311,0.384,0.443,0.827,124.0,0.365,125.0,54,3,5,0,1,1
Starling Marte,2020,31,MIA,NL,0.5,28,112,106,13,26,6,0,4,13,5,0,2,22,0.245,0.286,0.415,0.701,86.0,0.335,97.0,44,2,4,0,0,0
Rafael Devers*,2020,23,BOS,AL,0.8,57,248,232,32,61,16,1,11,43,0,0,13,67,0.263,0.31,0.483,0.793,107.0,0.34,104.0,112,8,3,0,0,0
Max Muncy*,2020,29,LAD,NL,0.5,58,248,203,36,39,4,0,12,27,1,0,39,60,0.192,0.331,0.389,0.72,95.0,0.316,91.0,79,3,4,0,2,2
Kyle Seager*,2020,32,SEA,AL,1.2,60,248,203,35,49,12,0,9,40,5,0,32,33,0.241,0.355,0.433,0.788,121.0,0.343,115.0,88,4,7,0,6,3
Charlie Blackmon*,2020,33,COL,NL,1.0,59,247,221,31,67,12,1,6,42,2,1,19,44,0.303,0.356,0.448,0.804,104.0,0.351,103.0,99,4,2,0,5,4
Christian Yelich*,2020,28,MIL,NL,0.5,58,247,200,39,41,7,1,12,22,4,2,46,76,0.205,0.356,0.43,0.786,110.0,0.35,113.0,86,4,1,0,0,2
Mookie Betts,2020,27,LAD,NL,3.7,55,246,219,47,64,9,1,16,39,10,2,24,38,0.292,0.366,0.562,0.927,147.0,0.417,158.0,123,2,2,0,1,1
Keston Hiura,2020,23,MIL,NL,-0.3,59,246,217,30,46,4,0,13,32,3,2,16,85,0.212,0.297,0.41,0.707,87.0,0.311,86.0,89,7,11,0,2,2
Matt Olson*,2020,26,OAK,AL,1.3,60,245,210,28,41,4,1,14,42,1,0,34,77,0.195,0.31,0.424,0.734,103.0,0.331,109.0,89,2,1,0,0,2
Bryce Harper*,2020,27,PHI,NL,1.9,58,244,190,41,51,9,2,13,33,8,2,49,43,0.268,0.42,0.542,0.962,158.0,0.408,154.0,103,5,2,1,2,8
Cody Bellinger*,2020,24,LAD,NL,1.5,56,243,213,33,51,10,0,12,30,6,1,30,42,0.239,0.333,0.455,0.789,112.0,0.34,106.0,97,4,0,0,0,2
Mark Canha,2020,31,OAK,AL,1.5,59,243,191,32,47,12,2,5,33,4,0,37,54,0.246,0.387,0.408,0.795,124.0,0.363,129.0,78,2,10,0,5,1
Maikel Franco,2020,27,KCR,AL,1.1,60,243,223,23,62,16,0,8,38,1,0,16,38,0.278,0.321,0.457,0.778,108.0,0.338,105.0,102,4,0,0,4,1
Vladimir Guerrero Jr.,2020,21,TOR,AL,0.7,60,243,221,34,58,13,2,9,33,1,0,20,38,0.262,0.329,0.462,0.791,115.0,0.351,118.0,102,6,2,0,0,1
Anthony Rizzo*,2020,30,CHC,NL,1.0,58,243,203,26,45,6,0,11,24,3,1,28,38,0.222,0.342,0.414,0.755,103.0,0.344,110.0,84,6,10,0,2,4
Christian Walker,2020,29,ARI,NL,0.9,57,243,218,35,59,18,1,7,34,1,1,19,50,0.271,0.333,0.459,0.792,112.0,0.344,112.0,100,6,3,0,3,0
Nick Castellanos,2020,28,CIN,NL,0.0,60,242,218,37,49,11,2,14,34,0,2,19,69,0.225,0.298,0.486,0.784,100.0,0.331,96.0,106,5,4,0,1,1
Kyle Lewis,2020,24,SEA,AL,1.6,58,242,206,37,54,3,0,11,28,5,1,34,71,0.262,0.364,0.437,0.801,124.0,0.355,125.0,90,5,0,0,2,0
Andrew McCutchen,2020,33,PHI,NL,-0.1,57,241,217,32,55,9,0,10,34,4,0,22,48,0.253,0.324,0.433,0.757,102.0,0.338,103.0,94,4,1,0,1,0
Franmil Reyes,2020,24,CLE,AL,0.4,59,241,211,27,58,10,0,9,34,0,0,24,69,0.275,0.344,0.45,0.795,116.0,0.344,113.0,95,6,1,0,5,0
Mike Trout,2020,28,LAA,AL,1.8,53,241,199,41,56,9,2,17,46,1,1,35,56,0.281,0.39,0.603,0.993,167.0,0.414,163.0,120,1,3,0,4,4
Pete Alonso,2020,25,NYM,NL,0.1,57,239,208,31,48,6,0,16,35,1,0,24,61,0.231,0.326,0.49,0.817,122.0,0.342,114.0,102,4,6,0,1,4
Didi Gregorius*,2020,30,PHI,NL,1.1,60,237,215,34,61,10,2,10,40,3,2,15,28,0.284,0.339,0.488,0.827,120.0,0.345,112.0,105,4,4,1,2,3
J.D. Martinez,2020,32,BOS,AL,-0.7,54,237,211,22,45,16,0,7,27,1,0,22,59,0.213,0.291,0.389,0.68,79.0,0.299,74.0,82,6,2,0,2,3
Marcus Semien,2020,29,OAK,AL,0.4,53,236,211,28,47,9,1,7,23,4,0,25,50,0.223,0.305,0.374,0.679,89.0,0.309,91.0,79,3,0,0,0,0
Javier Báez,2020,27,CHC,NL,0.7,59,235,222,27,45,9,1,8,24,3,0,7,75,0.203,0.238,0.36,0.599,59.0,0.278,62.0,80,8,4,0,2,0
Luke Voit,2020,29,NYY,AL,1.7,56,234,213,41,59,5,0,22,52,0,0,17,54,0.277,0.338,0.61,0.948,157.0,0.405,160.0,130,4,3,0,1,0
Michael Conforto*,2020,27,NYM,NL,2.1,54,233,202,40,65,12,0,9,31,3,3,24,57,0.322,0.412,0.515,0.927,154.0,0.41,164.0,104,6,7,0,0,0
Adalberto Mondesí#,2020,24,KCR,AL,1.3,59,233,219,33,56,11,3,6,22,24,8,11,70,0.256,0.294,0.416,0.71,90.0,0.319,88.0,91,4,1,2,0,0
Nick Solak,2020,25,TEX,AL,-1.1,58,233,209,27,56,10,0,2,23,7,1,18,42,0.268,0.326,0.344,0.671,86.0,0.304,84.0,72,6,2,0,4,0
J.P. Crawford*,2020,25,SEA,AL,1.6,53,232,204,33,52,7,2,2,24,6,3,23,39,0.255,0.336,0.338,0.674,91.0,0.31,96.0,69,4,3,0,2,0
Anthony Rendon,2020,30,LAA,AL,2.2,52,232,189,29,54,11,1,9,31,0,0,38,31,0.286,0.418,0.497,0.915,150.0,0.399,152.0,94,10,5,0,0,2
Corey Seager*,2020,26,LAD,NL,2.0,52,232,212,38,65,12,1,15,41,1,0,17,37,0.307,0.358,0.585,0.943,150.0,0.402,150.0,124,8,1,0,2,0
Hanser Alberto,2020,27,BAL,AL,0.7,54,231,219,35,62,15,0,3,22,3,0,5,30,0.283,0.306,0.393,0.698,88.0,0.315,89.0,86,6,3,2,2,0
Miguel Cabrera,2020,37,DET,AL,0.1,57,231,204,28,51,4,0,10,35,1,0,24,51,0.25,0.329,0.417,0.746,104.0,0.325,100.0,85,3,1,0,2,1
Paul Goldschmidt,2020,32,STL,NL,2.0,58,231,191,31,58,13,0,6,21,1,0,37,43,0.304,0.417,0.466,0.883,145.0,0.387,146.0,89,4,1,0,1,0
Randal Grichuk,2020,28,TOR,AL,0.4,55,231,216,38,59,9,0,12,35,1,1,13,49,0.273,0.312,0.481,0.793,114.0,0.338,111.0,104,5,0,0,2,1
Ian Happ#,2020,25,CHC,NL,1.3,57,231,198,27,51,11,1,12,28,1,3,30,63,0.258,0.361,0.505,0.866,131.0,0.371,133.0,100,1,2,1,0,1
Yoán Moncada#,2020,25,CHW,AL,0.6,52,231,200,28,45,8,3,6,24,0,0,28,72,0.225,0.32,0.385,0.705,94.0,0.311,91.0,77,1,1,0,2,0
Eddie Rosario*,2020,28,MIN,AL,1.2,57,231,210,31,54,7,0,13,42,3,1,19,34,0.257,0.316,0.476,0.792,116.0,0.342,115.0,100,3,0,0,2,2
Eugenio Suárez,2020,28,CIN,NL,0.5,57,231,198,29,40,8,0,15,38,2,0,30,67,0.202,0.312,0.47,0.781,100.0,0.346,102.0,93,5,2,0,1,1
David Fletcher,2020,26,LAA,AL,1.9,49,230,207,31,66,13,0,3,18,2,1,20,25,0.319,0.376,0.425,0.801,120.0,0.352,119.0,88,4,0,1,2,0
Adam Frazier*,2020,28,PIT,NL,0.8,58,230,209,22,48,7,0,7,23,1,3,17,35,0.23,0.297,0.364,0.661,79.0,0.289,78.0,76,3,3,1,0,0
Yuli Gurriel,2020,36,HOU,AL,-0.1,57,230,211,27,49,12,1,6,22,0,1,12,27,0.232,0.274,0.384,0.658,77.0,0.287,74.0,81,6,2,0,5,0
Brian Anderson,2020,27,MIA,NL,1.8,59,229,200,27,51,7,1,11,38,0,0,22,66,0.255,0.345,0.465,0.81,116.0,0.357,119.0,93,2,6,0,1,1
J.D. Davis,2020,27,NYM,NL,0.0,56,229,190,26,47,9,0,6,19,0,0,31,56,0.247,0.371,0.389,0.761,111.0,0.342,114.0,74,8,7,0,1,1
Kole Calhoun*,2020,32,ARI,NL,1.4,54,228,190,35,43,9,0,16,40,1,1,28,50,0.226,0.338,0.526,0.864,130.0,0.369,130.0,100,6,6,0,4,0
Isiah Kiner-Falefa,2020,25,TEX,AL,2.1,58,228,211,28,59,4,3,3,10,8,5,14,32,0.28,0.329,0.37,0.699,93.0,0.319,99.0,78,6,2,0,1,0
Kyle Tucker*,2020,23,HOU,AL,1.9,58,228,209,33,56,12,6,9,42,8,1,18,46,0.268,0.325,0.512,0.837,124.0,0.367,124.0,107,2,0,0,1,2
Tommy La Stella*,2020,31,2TM,AL,0.9,55,228,196,31,55,14,2,5,25,1,0,27,12,0.281,0.37,0.449,0.819,126.0,0.361,127.0,88,6,2,1,2,0
Tommy La Stella*,2020,31,LAA,AL,0.4,28,117,99,15,27,8,0,4,14,1,0,15,7,0.273,0.371,0.475,0.845,130.0,0.375,133.0,47,3,1,1,1,0
Tommy La Stella*,2020,31,OAK,AL,0.6,27,111,97,16,28,6,2,1,11,0,0,12,5,0.289,0.369,0.423,0.792,122.0,0.347,120.0,41,3,1,0,1,0
Tommy Edman#,2020,25,STL,NL,1.1,55,227,204,29,51,7,1,5,26,2,4,16,48,0.25,0.317,0.368,0.685,90.0,0.302,92.0,75,5,5,0,2,0
Luis Robert Jr.,2020,22,CHW,AL,1.9,56,227,202,33,47,8,0,11,31,9,2,20,73,0.233,0.302,0.436,0.738,100.0,0.322,95.0,88,4,1,0,2,0
Joey Gallo*,2020,26,TEX,AL,1.6,57,226,193,23,35,8,0,10,26,2,0,29,79,0.181,0.301,0.378,0.679,87.0,0.302,84.0,73,0,4,0,0,2
Eloy Jiménez,2020,23,CHW,AL,1.4,55,226,213,26,63,14,0,14,41,0,0,12,56,0.296,0.332,0.559,0.891,139.0,0.383,141.0,119,4,0,0,1,0
Jorge Polanco#,2020,26,MIN,AL,0.0,55,226,209,22,54,8,0,4,19,4,2,13,35,0.258,0.304,0.354,0.658,82.0,0.292,80.0,74,7,1,2,1,0
Xander Bogaerts,2020,27,BOS,AL,1.2,56,225,203,36,61,8,0,11,28,8,0,21,41,0.3,0.364,0.502,0.867,128.0,0.374,122.0,102,3,0,0,1,2
Willson Contreras,2020,28,CHC,NL,1.0,57,225,189,37,46,10,0,7,26,1,2,20,57,0.243,0.356,0.407,0.763,106.0,0.337,108.0,77,6,14,0,2,1
Brandon Nimmo*,2020,27,NYM,NL,1.7,55,225,186,33,52,8,3,8,18,1,2,33,43,0.28,0.404,0.484,0.888,145.0,0.383,145.0,90,1,6,0,0,0
Mike Yastrzemski*,2020,29,SFG,NL,2.7,54,225,192,39,57,14,4,10,35,2,1,30,55,0.297,0.4,0.568,0.968,164.0,0.419,168.0,109,2,3,0,0,2
Lourdes Gurriel Jr.,2020,26,TOR,AL,1.1,57,224,208,28,64,14,0,11,33,3,1,14,48,0.308,0.348,0.534,0.882,138.0,0.389,145.0,111,7,0,0,2,0
Brandon Lowe*,2020,25,TBR,AL,2.4,56,224,193,36,52,9,2,14,37,3,0,25,58,0.269,0.362,0.554,0.916,154.0,0.387,148.0,107,2,4,0,2,0
Kyle Schwarber*,2020,27,CHC,NL,0.1,59,224,191,30,36,6,0,11,24,1,0,30,66,0.188,0.308,0.393,0.701,88.0,0.316,90.0,75,3,3,0,0,1
Josh Bell#,2020,27,PIT,NL,-0.5,57,223,195,22,44,3,0,8,22,0,0,22,59,0.226,0.305,0.364,0.669,82.0,0.29,74.0,71,3,2,0,4,4
Joey Votto*,2020,36,CIN,NL,0.1,54,223,186,32,42,8,0,11,22,0,0,37,43,0.226,0.354,0.446,0.8,107.0,0.352,107.0,83,5,0,0,0,1
Kevin Pillar,2020,31,2TM,2LG,0.9,54,223,208,34,60,12,3,6,26,5,2,13,41,0.288,0.336,0.462,0.798,106.0,0.35,106.0,96,4,2,0,0,1
Kevin Pillar,2020,31,BOS,AL,0.7,30,126,117,20,32,7,2,4,13,1,1,8,23,0.274,0.325,0.47,0.795,109.0,0.351,113.0,55,4,1,0,0,0
Kevin Pillar,2020,31,COL,NL,0.2,24,97,91,14,28,5,1,2,13,4,1,5,18,0.308,0.351,0.451,0.801,103.0,0.349,98.0,41,0,1,0,0,1
Eduardo Escobar#,2020,31,ARI,NL,-0.4,54,222,203,22,43,7,3,4,20,1,0,15,41,0.212,0.27,0.335,0.605,63.0,0.258,50.0,68,5,2,0,2,4
Ramón Laureano,2020,25,OAK,AL,1.4,54,222,183,27,39,8,1,6,25,2,1,24,58,0.213,0.338,0.366,0.704,98.0,0.316,99.0,67,7,12,0,3,0
George Springer,2020,30,HOU,AL,2.2,51,222,189,37,50,6,2,14,32,1,2,24,38,0.265,0.359,0.54,0.899,141.0,0.387,145.0,102,3,5,0,2,0
Tim Anderson,2020,27,CHW,AL,2.5,49,221,208,45,67,11,1,10,21,5,2,10,50,0.322,0.357,0.529,0.886,140.0,0.382,140.0,110,4,2,0,1,0
Carlos Correa,2020,25,HOU,AL,1.6,58,221,201,22,53,9,0,5,25,0,0,16,49,0.264,0.326,0.383,0.709,93.0,0.324,98.0,77,4,3,0,1,2
Alex Verdugo*,2020,24,BOS,AL,2.2,53,221,201,36,62,16,0,6,15,4,0,17,45,0.308,0.367,0.478,0.844,123.0,0.373,124.0,96,4,2,0,1,1
Wil Myers,2020,29,SDP,NL,1.9,55,218,198,34,57,14,2,15,40,2,1,18,56,0.288,0.353,0.606,0.959,160.0,0.402,158.0,120,0,2,0,0,0
David Peralta*,2020,32,ARI,NL,0.7,54,218,203,19,61,10,1,5,34,1,0,13,45,0.3,0.339,0.433,0.773,108.0,0.334,103.0,88,4,0,0,2,0
Nick Ahmed,2020,30,ARI,NL,1.6,57,217,199,29,53,10,1,5,29,4,0,18,46,0.266,0.327,0.402,0.729,97.0,0.329,98.0,80,3,0,0,0,0
Jackie Bradley Jr.*,2020,30,BOS,AL,2.0,55,217,191,32,54,11,0,7,22,5,2,23,48,0.283,0.364,0.45,0.814,116.0,0.363,120.0,86,2,2,0,1,1
Jean Segura,2020,30,PHI,NL,1.4,54,217,192,28,51,5,2,7,25,2,2,23,45,0.266,0.347,0.422,0.769,107.0,0.336,107.0,81,6,1,1,0,2
Jesús Aguilar,2020,30,MIA,NL,0.5,51,216,188,31,52,10,0,8,34,0,1,23,40,0.277,0.352,0.457,0.809,117.0,0.35,116.0,86,5,1,0,4,0
DJ LeMahieu,2020,31,NYY,AL,3.0,50,216,195,41,71,10,2,10,27,3,0,18,21,0.364,0.421,0.59,1.011,178.0,0.441,182.0,115,3,2,0,1,0
Renato Núñez,2020,26,BAL,AL,0.6,52,216,195,29,50,10,0,12,31,0,0,17,64,0.256,0.324,0.492,0.816,118.0,0.352,116.0,96,4,3,0,1,0
Nelson Cruz,2020,39,MIN,AL,1.8,53,214,185,33,56,6,0,16,33,0,0,25,58,0.303,0.397,0.595,0.992,171.0,0.416,168.0,110,8,4,0,0,5
Chris Taylor,2020,29,LAD,NL,1.8,56,214,185,30,50,10,2,8,32,3,2,26,55,0.27,0.366,0.476,0.842,127.0,0.374,133.0,88,3,2,1,0,0
Asdrúbal Cabrera#,2020,34,WSN,NL,0.1,52,213,190,23,46,9,3,8,31,0,0,19,40,0.242,0.305,0.447,0.753,101.0,0.32,95.0,85,6,0,0,4,0
Wilmer Flores,2020,28,SFG,NL,1.2,55,213,198,30,53,11,1,12,32,1,0,13,36,0.268,0.315,0.515,0.83,124.0,0.352,120.0,102,5,1,0,1,1
Víctor Reyes#,2020,25,DET,AL,0.8,57,213,202,30,56,7,2,4,14,8,2,9,45,0.277,0.315,0.391,0.706,93.0,0.324,97.0,79,4,2,0,0,0
Aaron Hicks#,2020,30,NYY,AL,0.7,54,211,169,28,38,10,2,6,21,4,1,41,38,0.225,0.379,0.414,0.793,122.0,0.356,124.0,70,4,1,0,0,1
Jose Altuve,2020,30,HOU,AL,-0.3,48,210,192,32,42,9,0,5,18,2,3,17,39,0.219,0.286,0.344,0.629,71.0,0.284,74.0,66,5,1,0,0,0
Corey Dickerson*,2020,31,MIA,NL,0.2,52,210,194,25,50,5,1,7,17,1,1,15,35,0.258,0.311,0.402,0.713,91.0,0.321,95.0,78,5,0,0,0,1
AJ Pollock,2020,32,LAD,NL,0.8,55,210,196,30,54,9,0,16,34,2,2,12,45,0.276,0.314,0.566,0.881,132.0,0.364,127.0,111,6,0,0,2,1
Josh Reddick*,2020,33,HOU,AL,-0.4,56,210,188,22,46,11,1,4,23,1,0,20,42,0.245,0.316,0.378,0.693,89.0,0.306,85.0,71,5,0,0,1,0
Adam Duvall,2020,31,ATL,NL,0.8,57,209,190,34,45,8,0,16,33,0,0,15,54,0.237,0.301,0.532,0.833,114.0,0.358,114.0,101,2,3,0,1,0
Evan Longoria,2020,34,SFG,NL,0.6,53,209,193,26,49,10,1,7,28,0,1,11,39,0.254,0.297,0.425,0.722,96.0,0.305,90.0,82,10,2,0,3,0
Jeff McNeil*,2020,28,NYM,NL,1.5,52,209,183,19,57,14,0,4,23,0,2,20,24,0.311,0.383,0.454,0.836,130.0,0.366,135.0,83,3,3,0,3,2
Bryan Reynolds#,2020,25,PIT,NL,0.5,55,208,185,24,35,6,2,7,19,1,1,21,57,0.189,0.275,0.357,0.632,71.0,0.279,68.0,66,2,1,0,0,0
Kolten Wong*,2020,29,STL,NL,1.3,53,208,181,26,48,4,2,1,16,5,2,20,30,0.265,0.35,0.326,0.675,90.0,0.305,89.0,59,1,4,2,1,1
Avisaíl García,2020,29,MIL,NL,-0.3,53,207,181,20,43,10,0,2,15,1,3,20,49,0.238,0.333,0.326,0.659,78.0,0.295,79.0,59,2,6,0,0,2
Teoscar Hernández,2020,27,TOR,AL,1.5,50,207,190,33,55,7,0,16,34,6,1,14,63,0.289,0.34,0.579,0.919,146.0,0.397,148.0,110,4,1,0,1,0
Jonathan Villar#,2020,29,2TM,2LG,-0.3,52,207,185,13,43,5,0,2,15,16,5,19,54,0.232,0.301,0.292,0.593,63.0,0.289,70.0,54,2,0,1,2,1
Jonathan Villar#,2020,29,MIA,NL,-0.1,30,128,116,10,30,4,0,2,9,9,5,10,32,0.259,0.315,0.345,0.66,79.0,0.306,86.0,40,2,0,1,1,1
Jonathan Villar#,2020,29,TOR,AL,-0.2,22,79,69,3,13,1,0,0,6,7,0,9,22,0.188,0.278,0.203,0.481,36.0,0.262,42.0,14,0,0,0,1,0
Jeimer Candelario#,2020,26,DET,AL,2.1,52,206,185,30,55,11,3,7,29,1,1,20,49,0.297,0.369,0.503,0.872,137.0,0.376,137.0,93,3,1,0,0,0
Austin Riley,2020,23,ATL,NL,-0.4,51,206,188,24,45,7,1,8,27,0,0,16,49,0.239,0.301,0.415,0.716,86.0,0.311,82.0,78,5,1,0,1,1
Raimel Tapia*,2020,26,COL,NL,0.8,51,206,184,26,59,8,2,1,17,8,2,14,38,0.321,0.369,0.402,0.772,98.0,0.35,99.0,74,3,2,1,3,0
Willy Adames,2020,24,TBR,AL,1.8,54,205,185,29,48,15,1,8,23,2,1,20,74,0.259,0.332,0.481,0.813,126.0,0.354,128.0,89,4,0,0,0,0
Miguel Sanó,2020,27,MIN,AL,0.1,53,205,186,31,38,12,0,13,25,0,0,18,90,0.204,0.278,0.478,0.757,105.0,0.317,97.0,89,3,1,0,0,1
Rio Ruiz*,2020,26,BAL,AL,0.6,54,204,185,25,41,11,0,9,32,1,2,17,46,0.222,0.286,0.427,0.713,90.0,0.308,88.0,79,4,0,1,1,1
