player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
Donovan Solano,2020,32,SFG,NL,1.5,54,203,190,22,62,15,1,3,29,0,0,10,39,0.326,0.365,0.463,0.828,127.0,0.371,134.0,88,2,2,0,1,0
Ronald Acuña Jr.,2020,22,ATL,NL,2.4,46,202,160,46,40,11,0,14,29,8,1,38,60,0.25,0.406,0.581,0.987,156.0,0.42,153.0,93,3,4,0,0,2
Jurickson Profar#,2020,27,SDP,NL,1.4,56,202,180,28,50,6,0,7,25,7,1,15,28,0.278,0.343,0.428,0.771,114.0,0.344,114.0,77,1,4,1,2,0
Evan White,2020,24,SEA,AL,-0.1,54,202,182,19,32,7,0,8,26,1,2,18,84,0.176,0.252,0.346,0.599,66.0,0.26,63.0,63,3,1,0,1,0
Nolan Arenado,2020,29,COL,NL,1.5,48,201,182,23,46,9,0,8,26,0,0,15,20,0.253,0.303,0.434,0.738,86.0,0.313,76.0,79,7,0,0,4,3
Colin Moran*,2020,27,PIT,NL,0.5,52,200,178,28,44,10,0,10,23,0,0,19,52,0.247,0.325,0.472,0.797,114.0,0.349,116.0,84,9,2,0,1,0
Marwin González#,2020,31,MIN,AL,0.2,53,199,175,15,37,4,0,5,22,0,0,17,41,0.211,0.286,0.32,0.606,69.0,0.274,67.0,56,1,3,0,4,0
Dominic Smith*,2020,25,NYM,NL,1.9,50,199,177,27,56,21,1,10,42,0,0,14,45,0.316,0.377,0.616,0.993,168.0,0.411,162.0,109,2,5,0,3,0
Max Kepler*,2020,27,MIN,AL,1.1,48,196,171,27,39,9,0,9,23,3,0,22,36,0.228,0.321,0.439,0.76,109.0,0.345,115.0,75,1,2,0,1,0
Juan Soto*,2020,21,WSN,NL,2.3,47,196,154,39,54,14,0,13,37,6,2,41,28,0.351,0.49,0.695,1.185,217.0,0.494,221.0,107,1,1,0,0,12
Ketel Marte#,2020,26,ARI,NL,1.6,45,195,181,19,52,14,1,2,17,1,0,7,21,0.287,0.323,0.409,0.732,97.0,0.344,110.0,74,2,4,0,3,0
J.T. Realmuto,2020,29,PHI,NL,1.4,47,195,173,33,46,6,0,11,32,4,1,16,48,0.266,0.349,0.491,0.84,124.0,0.364,123.0,85,3,6,0,0,0
Yasmani Grandal#,2020,31,CHW,AL,0.9,46,194,161,27,37,7,0,8,27,0,0,30,58,0.23,0.351,0.422,0.773,112.0,0.34,111.0,68,4,1,0,2,0
Brandon Crawford*,2020,33,SFG,NL,1.3,54,193,172,26,44,12,0,8,28,1,2,15,47,0.256,0.326,0.465,0.792,115.0,0.335,112.0,80,3,4,0,2,2
Erik González,2020,28,PIT,NL,0.3,50,193,181,14,41,13,1,3,20,2,3,8,51,0.227,0.255,0.359,0.614,65.0,0.259,57.0,65,5,0,1,3,0
Ryan McMahon*,2020,25,COL,NL,0.5,52,193,172,23,37,6,1,9,26,0,1,18,66,0.215,0.295,0.419,0.714,80.0,0.32,83.0,72,4,2,0,1,0
Jake Cronenworth*,2020,26,SDP,NL,1.6,54,192,172,26,49,15,3,4,20,3,1,18,30,0.285,0.354,0.477,0.831,129.0,0.367,133.0,82,4,1,0,1,0
Robbie Grossman#,2020,30,OAK,AL,1.2,51,192,166,23,40,12,2,8,23,8,1,21,38,0.241,0.344,0.482,0.826,128.0,0.368,130.0,80,1,5,0,0,2
Nicky Lopez*,2020,25,KCR,AL,0.2,56,192,169,15,34,8,0,1,13,0,5,18,41,0.201,0.286,0.266,0.552,51.0,0.246,50.0,45,1,2,3,0,0
Orlando Arcia,2020,25,MIL,NL,0.3,59,189,173,22,45,10,1,5,20,2,0,14,32,0.26,0.317,0.416,0.734,95.0,0.326,94.0,72,10,1,0,1,0
Víctor Robles,2020,23,WSN,NL,-0.2,52,189,168,20,37,5,1,3,15,4,1,9,53,0.22,0.293,0.315,0.608,66.0,0.278,64.0,53,0,9,1,2,0
Christian Vázquez,2020,29,BOS,AL,0.9,47,189,173,22,49,9,0,7,23,4,3,16,43,0.283,0.344,0.457,0.801,111.0,0.348,112.0,79,6,0,0,0,0
Michael Brantley*,2020,33,HOU,AL,1.6,46,187,170,24,51,15,0,5,22,2,0,17,28,0.3,0.364,0.476,0.84,127.0,0.373,131.0,81,3,0,0,0,0
Hunter Dozier,2020,28,KCR,AL,0.4,44,186,158,29,36,4,2,6,12,4,0,27,48,0.228,0.344,0.392,0.736,99.0,0.341,104.0,62,3,1,0,0,0
Rhys Hoskins,2020,27,PHI,NL,1.0,41,185,151,35,37,9,0,10,26,1,0,29,43,0.245,0.384,0.503,0.887,138.0,0.402,149.0,76,4,5,0,0,0
Yoshi Tsutsugo*,2020,28,TBR,AL,0.2,51,185,157,27,31,5,1,8,24,0,0,26,50,0.197,0.314,0.395,0.708,99.0,0.315,100.0,62,5,1,0,1,1
Travis d'Arnaud,2020,31,ATL,NL,0.8,44,184,165,19,53,8,0,9,34,1,0,16,50,0.321,0.386,0.533,0.919,139.0,0.394,138.0,88,8,2,0,1,0
Alex Gordon*,2020,36,KCR,AL,0.3,50,184,163,15,34,4,0,4,11,0,0,18,37,0.209,0.299,0.307,0.606,65.0,0.288,71.0,50,0,3,0,0,0
Garrett Hampson,2020,25,COL,NL,0.0,53,184,167,25,39,4,3,5,11,6,1,13,60,0.234,0.287,0.383,0.671,70.0,0.292,57.0,64,1,0,3,1,0
Joey Wendle*,2020,30,TBR,AL,1.4,50,184,168,24,48,9,2,4,17,8,2,10,35,0.286,0.342,0.435,0.777,118.0,0.338,113.0,73,1,5,0,1,1
Austin Nola,2020,30,2TM,2LG,1.2,48,184,161,24,44,9,1,7,28,0,0,18,34,0.273,0.353,0.472,0.825,129.0,0.363,132.0,76,3,3,0,2,1
Austin Nola,2020,30,SEA,AL,0.9,29,110,98,15,30,5,1,5,19,0,0,9,17,0.306,0.373,0.531,0.903,151.0,0.39,152.0,52,1,2,0,1,1
Austin Nola,2020,30,SDP,NL,0.3,19,74,63,9,14,4,0,2,9,0,0,9,17,0.222,0.324,0.381,0.705,96.0,0.324,103.0,24,2,1,0,1,0
Shogo Akiyama*,2020,32,CIN,NL,0.7,54,183,155,16,38,6,1,0,9,7,3,25,34,0.245,0.357,0.297,0.654,74.0,0.311,78.0,46,1,2,0,0,0
Jesse Winker*,2020,26,CIN,NL,1.3,54,183,149,27,38,7,0,12,23,1,0,28,46,0.255,0.388,0.544,0.932,139.0,0.403,142.0,81,3,5,0,1,0
Robinson Canó*,2020,37,NYM,NL,1.3,49,182,171,23,54,9,0,10,30,0,0,9,24,0.316,0.352,0.544,0.896,143.0,0.387,146.0,93,7,1,0,1,1
Edwin Encarnación,2020,37,CHW,AL,-0.4,44,181,159,19,25,5,0,10,19,0,0,16,54,0.157,0.25,0.377,0.627,70.0,0.291,77.0,60,3,4,0,1,0
Jason Heyward*,2020,30,CHC,NL,1.6,50,181,147,20,39,6,2,6,22,2,0,30,37,0.265,0.392,0.456,0.848,129.0,0.376,131.0,67,1,2,0,2,1
Alec Bohm,2020,23,PHI,NL,0.7,44,180,160,24,54,11,0,4,23,1,1,16,36,0.338,0.4,0.481,0.881,137.0,0.385,139.0,77,4,2,0,2,0
Alex Bregman,2020,26,HOU,AL,1.0,42,180,153,19,37,12,1,6,22,0,0,24,26,0.242,0.35,0.451,0.801,117.0,0.344,112.0,69,2,2,0,1,1
Travis Shaw*,2020,30,TOR,AL,0.2,50,180,163,17,39,10,0,6,17,0,0,16,50,0.239,0.306,0.411,0.717,95.0,0.31,90.0,67,4,0,0,1,0
Brandon Belt*,2020,32,SFG,NL,2.1,51,179,149,25,46,13,1,9,30,0,0,30,36,0.309,0.425,0.591,1.015,177.0,0.429,174.0,88,5,0,0,0,1
Niko Goodrum#,2020,28,DET,AL,0.1,43,179,158,15,29,7,1,5,20,7,1,18,69,0.184,0.263,0.335,0.598,63.0,0.268,56.0,53,4,0,0,3,0
Gary Sánchez,2020,27,NYY,AL,-0.3,49,178,156,19,23,4,0,10,24,0,0,18,64,0.147,0.253,0.365,0.618,70.0,0.271,66.0,57,6,4,0,0,0
Pedro Severino,2020,26,BAL,AL,0.8,48,178,160,17,40,5,1,5,21,1,0,16,40,0.25,0.322,0.388,0.71,92.0,0.328,99.0,62,3,1,1,0,0
Mauricio Dubón,2020,25,SFG,NL,1.0,54,177,157,21,43,4,1,4,19,2,3,15,36,0.274,0.337,0.389,0.726,100.0,0.311,97.0,61,4,1,1,2,0
Jonathan Schoop,2020,28,DET,AL,1.3,44,177,162,26,45,4,2,8,23,0,0,8,39,0.278,0.324,0.475,0.799,116.0,0.359,125.0,77,8,4,0,2,0
Adam Eaton*,2020,31,WSN,NL,-0.6,41,176,159,22,36,11,1,4,17,3,0,12,32,0.226,0.285,0.384,0.669,79.0,0.296,74.0,61,4,1,4,0,1
Shohei Ohtani*,2020,25,LAA,AL,0.0,44,175,153,23,29,6,0,7,24,7,1,22,50,0.19,0.291,0.366,0.657,79.0,0.301,78.0,56,3,0,0,0,0
Justin Turner,2020,35,LAD,NL,1.4,42,175,150,26,46,9,1,4,23,1,0,18,26,0.307,0.4,0.46,0.86,133.0,0.395,145.0,69,2,6,0,1,0
Paul DeJong,2020,26,STL,NL,0.3,45,174,152,17,38,6,0,3,25,1,0,17,50,0.25,0.322,0.349,0.671,87.0,0.299,84.0,53,4,1,0,4,0
Gregory Polanco*,2020,28,PIT,NL,-0.9,50,174,157,12,24,6,0,7,22,3,1,13,65,0.153,0.214,0.325,0.539,44.0,0.233,34.0,51,1,0,0,3,0
Jorge Soler,2020,28,KCR,AL,0.2,43,174,149,17,34,8,0,8,24,0,0,19,60,0.228,0.326,0.443,0.769,106.0,0.338,106.0,66,3,3,0,1,0
Gio Urshela,2020,28,NYY,AL,2.1,43,174,151,24,45,11,0,6,30,1,0,18,25,0.298,0.368,0.49,0.858,137.0,0.376,138.0,74,6,1,0,4,0
Kevin Newman,2020,26,PIT,NL,-0.4,44,172,156,12,35,5,0,1,10,0,1,12,21,0.224,0.281,0.276,0.556,53.0,0.268,61.0,43,1,1,1,2,0
Todd Frazier,2020,34,2TM,2LG,0.2,45,172,157,16,37,9,1,4,12,1,1,11,42,0.236,0.302,0.382,0.684,88.0,0.303,87.0,60,1,4,0,0,0
Todd Frazier,2020,34,TEX,AL,0.1,31,121,108,11,26,7,1,2,7,1,1,10,26,0.241,0.322,0.38,0.702,94.0,0.314,96.0,41,0,3,0,0,0
Todd Frazier,2020,34,NYM,NL,0.1,14,51,49,5,11,2,0,2,5,0,0,1,16,0.224,0.255,0.388,0.643,74.0,0.275,68.0,19,1,1,0,0,0
Brad Miller*,2020,30,STL,NL,0.9,48,171,142,21,33,8,1,7,25,1,0,25,46,0.232,0.357,0.451,0.807,122.0,0.361,128.0,64,2,3,0,1,1
Stephen Piscotty,2020,29,OAK,AL,0.1,45,171,159,17,36,6,0,5,29,4,0,9,53,0.226,0.271,0.358,0.629,75.0,0.278,68.0,57,4,1,1,1,0
Alex Dickerson*,2020,30,SFG,NL,0.8,52,170,151,28,45,10,1,10,27,0,0,16,30,0.298,0.371,0.576,0.947,156.0,0.399,154.0,87,5,2,0,1,2
Matt Carpenter*,2020,34,STL,NL,0.3,50,169,140,22,26,6,0,4,24,0,0,23,48,0.186,0.325,0.314,0.64,79.0,0.294,82.0,44,1,6,0,0,1
Justin Upton,2020,32,LAA,AL,-0.6,42,166,147,20,30,5,0,9,22,0,2,11,43,0.204,0.289,0.422,0.711,92.0,0.305,90.0,62,6,7,0,1,0
Martín Maldonado,2020,33,HOU,AL,0.8,47,165,135,19,29,4,0,6,24,1,0,27,51,0.215,0.35,0.378,0.727,99.0,0.334,104.0,51,2,1,2,0,0
Anthony Santander#,2020,25,BAL,AL,1.6,37,165,153,24,40,13,1,11,32,0,1,10,25,0.261,0.315,0.575,0.89,135.0,0.368,130.0,88,2,2,0,0,3
Brian Goodwin*,2020,29,2TM,2LG,-0.3,50,164,144,17,31,9,1,6,22,5,0,17,54,0.215,0.299,0.417,0.715,90.0,0.317,85.0,60,1,1,0,2,1
Brian Goodwin*,2020,29,LAA,AL,0.2,30,109,95,12,23,7,1,4,17,1,0,12,35,0.242,0.33,0.463,0.793,115.0,0.337,107.0,44,0,1,0,1,1
Brian Goodwin*,2020,29,CIN,NL,-0.5,20,55,49,5,8,2,0,2,5,4,0,5,19,0.163,0.236,0.327,0.563,45.0,0.277,44.0,16,1,0,0,1,0
Mike Moustakas*,2020,31,CIN,NL,0.1,44,163,139,13,32,9,0,8,27,1,0,18,36,0.23,0.331,0.468,0.799,105.0,0.347,103.0,65,5,4,0,2,1
Albert Pujols,2020,40,LAA,AL,-0.1,39,163,152,15,34,8,0,6,25,0,0,9,25,0.224,0.27,0.395,0.665,79.0,0.283,70.0,60,4,1,0,1,1
Clint Frazier,2020,25,NYY,AL,1.8,39,160,131,24,35,6,1,8,26,3,0,25,44,0.267,0.394,0.511,0.905,150.0,0.408,159.0,67,5,3,0,1,0
Gleyber Torres,2020,23,NYY,AL,0.0,42,160,136,17,33,8,0,3,16,1,0,22,28,0.243,0.356,0.368,0.724,103.0,0.327,104.0,50,5,2,0,0,0
Freddy Galvis#,2020,30,CIN,NL,0.2,47,159,141,18,31,5,0,7,16,1,1,13,30,0.22,0.308,0.404,0.712,84.0,0.309,79.0,57,5,5,0,0,0
Kevin Kiermaier*,2020,30,TBR,AL,1.9,49,159,138,16,30,5,3,3,22,8,1,20,42,0.217,0.321,0.362,0.683,93.0,0.315,94.0,50,2,1,0,0,1
Manuel Margot,2020,25,TBR,AL,1.1,47,159,145,19,39,9,0,1,11,12,4,13,25,0.269,0.327,0.352,0.679,93.0,0.324,103.0,51,0,0,0,1,0
Dylan Moore,2020,27,SEA,AL,1.7,38,159,137,26,35,9,0,8,17,12,5,14,43,0.255,0.358,0.496,0.855,138.0,0.381,144.0,68,4,8,0,0,0
Michael Chavis,2020,24,BOS,AL,-0.8,42,158,146,16,31,5,2,5,19,3,0,8,50,0.212,0.259,0.377,0.636,67.0,0.282,60.0,55,6,2,0,2,0
Brett Gardner*,2020,36,NYY,AL,0.7,49,158,130,20,29,5,1,5,15,3,3,26,35,0.223,0.354,0.392,0.747,109.0,0.331,112.0,51,0,1,0,1,0
Tyler O'Neill,2020,25,STL,NL,0.9,50,157,139,20,24,5,0,7,19,3,1,15,43,0.173,0.261,0.36,0.621,70.0,0.283,73.0,50,3,2,0,1,0
Eric Hosmer*,2020,30,SDP,NL,1.1,38,156,143,23,41,6,0,9,36,4,0,9,28,0.287,0.333,0.517,0.851,132.0,0.365,128.0,74,3,2,0,2,0
Yadier Molina,2020,37,STL,NL,0.4,42,156,145,12,38,2,0,4,16,0,0,6,21,0.262,0.303,0.359,0.662,83.0,0.291,80.0,52,7,3,1,1,0
Salvador Perez,2020,30,KCR,AL,2.1,37,156,150,22,50,12,0,11,32,1,0,3,36,0.333,0.353,0.633,0.986,159.0,0.425,166.0,95,0,2,0,1,0
Wilson Ramos,2020,32,NYM,NL,0.3,45,155,142,13,34,6,0,5,15,0,0,10,31,0.239,0.297,0.387,0.684,87.0,0.299,84.0,55,5,2,0,1,0
Ty France,2020,25,2TM,2LG,1.0,43,155,141,19,43,9,1,4,23,0,0,11,37,0.305,0.368,0.468,0.836,133.0,0.361,131.0,66,3,3,0,0,0
Ty France,2020,25,SDP,NL,0.5,20,61,55,9,17,4,0,2,10,0,0,5,15,0.309,0.377,0.491,0.868,140.0,0.376,140.0,27,1,1,0,0,0
Ty France,2020,25,SEA,AL,0.5,23,94,86,10,26,5,1,2,13,0,0,6,22,0.302,0.362,0.453,0.815,128.0,0.352,125.0,39,2,2,0,0,0
Cedric Mullins*,2020,25,BAL,AL,0.5,48,153,140,16,38,4,3,3,12,7,2,8,37,0.271,0.315,0.407,0.723,95.0,0.312,85.0,57,0,1,4,0,0
Matt Chapman,2020,27,OAK,AL,1.2,37,152,142,22,33,9,2,10,25,0,0,8,54,0.232,0.276,0.535,0.812,120.0,0.335,112.0,76,2,1,0,1,0
Austin Meadows*,2020,25,TBR,AL,0.3,36,152,132,19,27,8,1,4,13,2,1,17,50,0.205,0.296,0.371,0.667,87.0,0.292,84.0,49,0,1,0,2,0
Mitch Moreland*,2020,34,2TM,2LG,1.1,42,152,136,22,36,9,0,10,29,0,0,15,32,0.265,0.342,0.551,0.894,138.0,0.378,135.0,75,0,1,0,0,2
Mitch Moreland*,2020,34,BOS,AL,1.1,22,79,67,14,22,4,0,8,21,0,0,11,18,0.328,0.43,0.746,1.177,205.0,0.477,201.0,50,0,1,0,0,1
Mitch Moreland*,2020,34,SDP,NL,0.0,20,73,69,8,14,5,0,2,8,0,0,4,14,0.203,0.247,0.362,0.609,67.0,0.27,65.0,25,0,0,0,0,1
Tim Lopes,2020,26,SEA,AL,-0.2,46,151,143,16,34,12,0,2,15,5,0,6,34,0.238,0.278,0.364,0.642,79.0,0.291,77.0,52,2,2,0,0,0
Jose Iglesias,2020,30,BAL,AL,1.3,39,150,142,16,53,17,0,3,24,0,0,3,17,0.373,0.4,0.556,0.956,157.0,0.407,155.0,79,1,4,0,1,0
Pat Valaika,2020,27,BAL,AL,0.5,52,150,141,24,39,4,0,8,16,0,2,8,34,0.277,0.315,0.475,0.791,111.0,0.341,114.0,67,3,0,1,0,0
Jon Berti,2020,30,MIA,NL,0.9,39,149,120,21,31,5,0,2,14,9,2,23,37,0.258,0.388,0.35,0.738,102.0,0.356,114.0,42,1,3,2,1,0
Nomar Mazara*,2020,25,CHW,AL,-0.2,42,149,136,13,31,6,0,1,15,0,1,10,44,0.228,0.295,0.294,0.589,64.0,0.264,60.0,40,0,3,0,0,0
Kiké Hernández,2020,28,LAD,NL,1.0,48,148,139,20,32,8,1,5,20,0,1,6,31,0.23,0.27,0.41,0.68,81.0,0.299,82.0,57,5,2,0,1,0
Matt Joyce*,2020,35,MIA,NL,-0.4,46,148,127,16,32,4,0,2,14,1,0,20,41,0.252,0.351,0.331,0.682,87.0,0.331,100.0,42,3,0,0,1,0
Rougned Odor*,2020,26,TEX,AL,-0.5,38,148,138,15,23,4,0,10,30,0,1,7,47,0.167,0.209,0.413,0.623,66.0,0.266,63.0,57,2,1,0,2,0
Kris Bryant,2020,28,CHC,NL,0.4,34,147,131,20,27,5,1,4,11,0,0,12,40,0.206,0.293,0.351,0.644,73.0,0.311,87.0,46,1,4,0,0,0
Danny Jansen,2020,25,TOR,AL,0.6,43,147,120,18,22,3,0,6,20,0,0,21,31,0.183,0.313,0.358,0.671,85.0,0.325,101.0,43,1,2,3,1,0
Amed Rosario,2020,24,NYM,NL,0.0,46,147,143,20,36,3,1,4,15,0,1,4,34,0.252,0.272,0.371,0.643,75.0,0.284,76.0,53,5,0,0,0,0
David Bote,2020,27,CHC,NL,0.0,45,145,125,15,25,3,1,7,29,2,0,17,40,0.2,0.303,0.408,0.711,90.0,0.312,86.0,51,6,2,0,1,0
Jiman Choi*,2020,29,TBR,AL,0.4,42,145,122,16,28,13,0,3,16,0,0,20,36,0.23,0.331,0.41,0.741,108.0,0.317,102.0,50,1,0,0,3,2
Miguel Rojas,2020,31,MIA,NL,1.6,40,143,125,20,38,10,1,4,20,5,1,16,18,0.304,0.392,0.496,0.888,138.0,0.383,134.0,62,1,2,0,0,2
Jacob Stallings,2020,30,PIT,NL,1.0,42,143,125,13,31,7,0,3,18,0,0,15,40,0.248,0.326,0.376,0.702,91.0,0.317,93.0,47,2,0,2,1,0
Ryan Braun,2020,36,MIL,NL,0.1,39,141,129,14,30,7,1,8,26,1,0,7,27,0.233,0.281,0.488,0.769,101.0,0.33,97.0,63,6,2,0,1,0
Nick Markakis*,2020,36,ATL,NL,-0.2,37,141,130,15,33,15,0,1,15,0,1,10,23,0.254,0.312,0.392,0.704,85.0,0.317,88.0,51,5,1,0,0,0
Tyler Naquin*,2020,29,CLE,AL,-0.4,40,141,133,15,29,8,1,4,20,0,1,5,40,0.218,0.248,0.383,0.632,70.0,0.272,65.0,51,3,1,0,2,0
Joe Panik*,2020,29,TOR,AL,-0.3,41,141,120,18,27,6,0,1,7,0,0,20,27,0.225,0.34,0.3,0.64,79.0,0.297,81.0,36,4,1,0,0,0
Willi Castro#,2020,23,DET,AL,0.5,36,140,129,21,45,4,2,6,24,0,1,7,38,0.349,0.381,0.55,0.932,153.0,0.389,148.0,71,0,1,1,2,0
Ryan Mountcastle,2020,23,BAL,AL,0.7,35,140,126,12,42,5,0,5,23,0,1,11,30,0.333,0.386,0.492,0.878,137.0,0.39,146.0,62,2,1,0,2,0
Sean Murphy,2020,25,OAK,AL,1.1,43,140,116,21,27,5,0,7,14,0,0,24,37,0.233,0.364,0.457,0.821,129.0,0.365,133.0,53,6,0,0,0,0
Eric Thames*,2020,33,WSN,NL,-0.4,41,140,123,10,25,5,0,3,12,1,0,14,42,0.203,0.3,0.317,0.617,68.0,0.291,73.0,39,2,3,0,0,1
Luis García Jr.*,2020,20,WSN,NL,-0.1,40,139,134,18,37,6,0,2,16,1,1,5,29,0.276,0.302,0.366,0.668,81.0,0.296,79.0,49,3,0,0,0,0
Hunter Renfroe,2020,28,TBR,AL,-0.1,42,139,122,18,19,5,0,8,22,2,0,14,37,0.156,0.252,0.393,0.645,79.0,0.307,92.0,48,3,2,0,1,0
Yandy Díaz,2020,28,TBR,AL,1.1,34,138,114,16,35,3,0,2,11,0,0,23,17,0.307,0.428,0.386,0.814,133.0,0.377,144.0,44,6,1,0,0,1
Joc Pederson*,2020,28,LAD,NL,-0.3,43,138,121,21,23,4,0,7,16,1,0,11,34,0.19,0.285,0.397,0.681,83.0,0.305,82.0,48,5,5,0,0,0
Will Smith,2020,25,LAD,NL,1.4,37,137,114,23,33,9,0,8,25,0,0,20,22,0.289,0.401,0.579,0.98,162.0,0.41,157.0,66,2,2,0,1,1
Daniel Vogelbach*,2020,27,3TM,2LG,-0.1,39,136,115,16,24,3,0,6,16,0,0,20,33,0.209,0.331,0.391,0.722,98.0,0.318,95.0,45,3,1,0,0,1
Daniel Vogelbach*,2020,27,2TM,AL,-0.6,20,69,57,3,5,1,0,2,4,0,0,12,15,0.088,0.246,0.211,0.457,31.0,0.214,27.0,12,1,0,0,0,1
Daniel Vogelbach*,2020,27,SEA,AL,-0.5,18,64,53,3,5,1,0,2,4,0,0,11,13,0.094,0.25,0.226,0.476,36.0,0.22,32.0,12,1,0,0,0,1
Daniel Vogelbach*,2020,27,TOR,AL,-0.1,2,5,4,0,0,0,0,0,0,0,0,1,2,0.0,0.2,0.0,0.2,-37.0,0.14,-28.0,0,0,0,0,0,0
Daniel Vogelbach*,2020,27,MIL,NL,0.5,19,67,58,13,19,2,0,4,12,0,0,8,18,0.328,0.418,0.569,0.987,161.0,0.424,163.0,33,2,1,0,0,0
Byron Buxton,2020,26,MIN,AL,2.1,39,135,130,19,33,3,0,13,27,2,1,2,36,0.254,0.267,0.577,0.844,125.0,0.348,119.0,75,2,1,0,2,0
Jedd Gyorko,2020,31,MIL,NL,0.7,42,135,117,19,29,3,0,9,17,0,0,15,38,0.248,0.333,0.504,0.838,120.0,0.365,123.0,59,4,1,0,2,1
Jason Kipnis*,2020,33,CHC,NL,0.8,44,135,114,13,27,8,1,3,16,1,0,18,41,0.237,0.341,0.404,0.744,101.0,0.339,106.0,46,1,1,0,2,0
Austin Romine,2020,31,DET,AL,-0.2,37,135,130,12,31,5,0,2,17,0,0,4,47,0.238,0.259,0.323,0.582,59.0,0.267,60.0,42,3,0,0,1,0
Austin Hays,2020,24,BAL,AL,0.8,33,134,122,20,34,2,0,4,9,2,3,8,25,0.279,0.328,0.393,0.722,96.0,0.332,108.0,48,1,2,0,2,0
Leody Taveras#,2020,21,TEX,AL,1.3,33,134,119,20,27,6,1,4,6,8,0,14,43,0.227,0.308,0.395,0.703,93.0,0.326,92.0,47,0,0,1,0,0
Garrett Cooper,2020,29,MIA,NL,0.6,34,133,120,20,34,8,0,6,20,0,0,11,31,0.283,0.353,0.5,0.853,127.0,0.373,130.0,60,5,2,0,0,0
