rank,player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
236,Garrett Cooper,,29,MIA,NL,0.6,34,133,120,20,34,8,0,6,20,0,0,11,31,0.283,0.353,0.5,0.853,127,0.373,130,60,5,2,0,0,0
237,Jo Adell,,21,LAA,AL,-1.4,38,132,124,9,20,4,0,3,7,0,1,7,55,0.161,0.212,0.266,0.478,30,0.206,19,33,3,1,0,0,0
238,Victor Caratini#,,26,CHC,NL,-0.2,44,132,116,10,28,7,0,1,16,0,1,12,31,0.241,0.333,0.328,0.661,80,0.295,79,38,4,4,0,0,1
239,Andrés Giménez*,,21,NYM,NL,1,49,132,118,22,31,3,2,3,12,8,1,7,28,0.263,0.333,0.398,0.732,101,0.332,100,47,0,6,0,1,0
240,Matt Kemp,,35,COL,NL,0.1,43,132,117,18,28,3,0,6,21,1,0,15,41,0.239,0.326,0.419,0.745,89,0.324,83,49,5,0,0,0,1
241,Daniel Murphy*,,35,COL,NL,-0.9,40,132,123,10,29,3,0,3,16,0,0,7,21,0.236,0.275,0.333,0.608,55,0.261,38,41,3,0,0,1,2
242,Ryan O'Hearn*,,26,KCR,AL,-0.6,42,132,113,7,22,6,0,2,18,0,0,18,37,0.195,0.303,0.301,0.604,65,0.27,58,34,5,0,0,1,2
243,Justin Smoak#,,33,2TM,NL,-0.7,36,132,119,14,21,7,0,5,15,0,0,10,42,0.176,0.25,0.361,0.611,62,0.272,58,43,4,2,0,1,0
243,Justin Smoak#,,33,MIL,NL,-0.5,33,126,113,14,21,7,0,5,15,0,0,10,40,0.186,0.262,0.381,0.642,69,0.285,67,43,3,2,0,1,0
243,Justin Smoak#,,33,SFG,NL,-0.2,3,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-124,0,1,0,0,0,0
244,Ender Inciarte*,,29,ATL,NL,-0.6,46,131,116,17,22,2,1,1,10,4,1,12,25,0.19,0.262,0.25,0.512,36,0.243,32,29,0,0,1,2,0
245,Carson Kelly,,25,ARI,NL,-0.1,39,129,122,11,27,5,0,5,19,0,0,6,29,0.221,0.264,0.385,0.649,73,0.28,67,47,4,1,0,0,0
246,Kurt Suzuki,,36,WSN,NL,0.2,33,129,111,15,30,8,0,2,17,1,0,11,19,0.27,0.349,0.396,0.745,102,0.337,105,44,4,4,0,3,0
247,Bo Bichette,,22,TOR,AL,1.1,29,128,123,18,37,9,1,5,23,4,1,5,27,0.301,0.328,0.512,0.84,127,0.371,131,63,2,0,0,0,1
248,Shed Long Jr.*,,24,SEA,AL,-0.1,34,128,117,10,20,5,0,3,9,4,0,11,37,0.171,0.242,0.291,0.533,49,0.251,49,34,1,0,0,0,0
249,Eric Sogard*,,34,MIL,NL,-0.2,43,128,115,10,24,5,0,1,10,0,0,11,20,0.209,0.281,0.278,0.56,51,0.256,47,32,1,1,0,1,0
250,Johan Camargo#,,26,ATL,NL,0.1,35,127,120,16,24,8,0,4,9,0,0,6,35,0.2,0.244,0.367,0.611,58,0.27,53,44,1,1,0,0,0
251,Shin-Soo Choo*,,37,TEX,AL,0.1,33,127,110,13,26,3,0,5,15,6,2,13,33,0.236,0.323,0.4,0.723,99,0.321,97,44,1,2,0,2,1
252,Ben Gamel*,,28,MIL,NL,-0.4,40,127,114,13,27,8,1,3,10,0,2,13,39,0.237,0.315,0.404,0.718,91,0.307,88,46,4,0,0,0,0
253,Andrelton Simmons,,30,LAA,AL,0.6,30,127,118,19,35,7,0,0,10,2,0,8,16,0.297,0.346,0.356,0.702,94,0.336,105,42,5,1,0,0,0
254,Rowdy Tellez*,,25,TOR,AL,0.6,35,127,113,20,32,5,0,8,23,0,1,11,20,0.283,0.346,0.54,0.886,139,0.378,141,61,1,1,0,2,1
255,Nico Hoerner,,23,CHC,NL,0.8,48,126,108,19,24,4,0,0,13,3,2,12,24,0.222,0.312,0.259,0.571,57,0.277,65,28,3,3,0,2,0
256,Omar Narváez*,,28,MIL,NL,-0.1,40,126,108,8,19,4,0,2,10,0,0,16,39,0.176,0.294,0.269,0.562,53,0.264,52,29,1,2,0,0,0
257,Harrison Bader,,26,STL,NL,1,50,125,106,21,24,7,2,4,11,3,1,13,40,0.226,0.336,0.443,0.779,114,0.359,126,47,2,5,0,1,0
258,Tommy Pham,,32,SDP,NL,-0.1,31,125,109,13,23,2,0,3,12,6,0,15,27,0.211,0.312,0.312,0.624,75,0.294,75,34,2,1,0,0,0
259,Ozzie Albies#,,23,ATL,NL,0.8,29,124,118,21,32,5,0,6,19,3,1,5,30,0.271,0.306,0.466,0.773,100,0.358,113,55,0,1,0,0,0
260,Scott Kingery,,26,PHI,NL,-0.9,36,124,113,12,18,5,0,3,6,0,0,9,35,0.159,0.228,0.283,0.511,37,0.249,44,32,1,1,1,0,0
261,Jake Cave*,,27,MIN,AL,0.4,42,123,113,17,25,3,2,4,15,0,2,5,44,0.221,0.285,0.389,0.674,85,0.291,85,44,0,5,0,0,0
262,Carter Kieboom,,22,WSN,NL,0.2,33,122,99,15,20,1,0,0,9,0,1,17,33,0.202,0.344,0.212,0.556,57,0.274,66,21,6,5,0,1,0
263,Luis Arráez*,,23,MIN,AL,0.8,32,121,112,16,36,9,0,0,13,0,0,8,11,0.321,0.364,0.402,0.765,113,0.344,116,45,2,0,0,1,0
264,Chance Sisco*,,25,BAL,AL,0.2,36,121,98,11,21,4,0,4,10,0,0,17,41,0.214,0.364,0.378,0.741,103,0.337,106,37,1,6,0,0,0
265,Delino DeShields,,27,CLE,AL,0,37,120,107,10,27,3,2,0,7,3,2,9,29,0.252,0.31,0.318,0.628,73,0.274,65,34,0,0,4,0,0
266,José Peraza,,26,BOS,AL,-0.1,34,120,111,13,25,8,1,1,8,1,1,5,18,0.225,0.275,0.342,0.617,64,0.283,66,38,3,3,0,1,0
267,Luis Urías,,23,MIL,NL,0.2,41,120,109,11,26,4,1,0,11,2,2,10,32,0.239,0.308,0.294,0.602,63,0.267,58,32,4,1,0,0,0
268,Dylan Carlson#,,21,STL,NL,0.1,35,119,110,11,22,7,1,3,16,1,1,8,35,0.2,0.252,0.364,0.616,68,0.262,61,40,3,0,0,1,0
269,Yan Gomes,,32,WSN,NL,0.7,30,119,109,14,31,6,1,4,13,1,0,6,22,0.284,0.319,0.468,0.787,110,0.351,115,51,1,1,0,3,0
270,Roman Quinn#,,27,PHI,NL,0,41,116,108,14,23,3,1,2,7,12,0,5,39,0.213,0.261,0.315,0.576,55,0.289,55,34,0,2,1,0,0
271,Cole Tucker#,,23,PIT,NL,-0.9,37,116,109,17,24,3,0,1,8,1,0,5,31,0.22,0.252,0.275,0.527,44,0.25,45,30,3,0,1,1,0
272,José Marmolejos*,,27,SEA,AL,-0.2,35,115,107,12,22,4,0,6,18,0,1,7,32,0.206,0.261,0.411,0.672,85,0.291,85,44,2,1,0,0,0
273,Daulton Varsho*,,23,ARI,NL,0.1,37,115,101,16,19,5,2,3,9,3,1,12,33,0.188,0.287,0.366,0.653,76,0.288,71,37,1,2,0,0,0
274,Sam Hilliard*,,26,COL,NL,0.2,36,114,105,13,22,2,2,6,10,3,0,9,42,0.21,0.272,0.438,0.71,77,0.305,67,46,0,0,0,0,0
275,Aaron Judge,,28,NYY,AL,1.1,28,114,101,23,26,3,0,9,22,0,1,10,32,0.257,0.336,0.554,0.891,143,0.379,145,56,5,2,0,0,0
276,Tony Kemp*,,28,OAK,AL,0,49,114,93,15,23,5,0,0,4,3,1,15,14,0.247,0.363,0.301,0.664,90,0.308,92,28,0,3,1,2,0
277,Danny Mendick,,26,CHW,AL,0.7,33,114,107,11,26,4,1,3,6,0,1,6,25,0.243,0.281,0.383,0.664,81,0.29,79,41,3,0,0,1,0
278,Lewis Brinson,,26,MIA,NL,0.1,47,112,106,14,24,6,0,3,12,4,0,6,30,0.226,0.268,0.368,0.636,70,0.28,60,39,2,0,0,0,0
279,DJ Stewart*,,26,BAL,AL,0.5,31,112,88,13,17,2,0,7,15,0,0,20,38,0.193,0.355,0.455,0.809,118,0.36,123,40,0,2,2,0,0
280,Elvis Andrus,,31,TEX,AL,-0.3,29,111,103,11,20,5,0,3,7,3,1,8,15,0.194,0.252,0.33,0.582,60,0.264,58,34,5,0,0,0,0
281,Joey Bart,,23,SFG,NL,0.3,33,111,103,15,24,5,2,0,7,0,0,3,41,0.233,0.288,0.32,0.609,68,0.295,82,33,1,5,0,0,0
282,James McCann,,30,CHW,AL,1.3,31,111,97,20,28,3,0,7,15,1,1,8,30,0.289,0.36,0.536,0.896,143,0.385,144,52,2,4,0,2,0
283,Mike Tauchman*,,29,NYY,AL,0.1,43,111,95,18,23,6,0,0,14,6,0,14,26,0.242,0.342,0.305,0.648,84,0.3,77,29,3,1,0,1,3
284,Tucker Barnhart*,,29,CIN,NL,0.8,38,110,98,10,20,3,0,5,13,0,0,12,28,0.204,0.291,0.388,0.679,75,0.298,70,38,2,0,0,0,0
285,Roberto Pérez,,31,CLE,AL,0.2,32,110,97,6,16,2,0,1,5,0,0,11,38,0.165,0.264,0.216,0.48,34,0.262,56,21,2,2,0,0,0
286,Nick Madrigal,,23,CHW,AL,0.5,29,109,103,8,35,3,0,0,11,2,1,4,7,0.34,0.376,0.369,0.745,107,0.347,117,38,5,2,0,0,0
287,Tony Wolters*,,28,COL,NL,-0.3,42,109,100,10,23,4,0,0,8,0,0,6,30,0.23,0.28,0.27,0.55,42,0.268,44,27,1,1,2,0,0
288,Willie Calhoun*,,25,TEX,AL,-1,29,108,100,3,19,2,1,1,13,0,0,5,17,0.19,0.231,0.26,0.491,36,0.217,26,26,1,1,0,2,0
289,JaCoby Jones,,28,DET,AL,0.5,30,108,97,19,26,9,0,5,14,1,1,7,34,0.268,0.333,0.515,0.849,129,0.364,130,50,1,3,0,1,0
290,Isaac Paredes,,21,DET,AL,-0.3,34,108,100,7,22,4,0,1,6,0,0,8,24,0.22,0.278,0.29,0.568,57,0.255,52,29,1,0,0,0,0
291,Jared Walsh*,,26,LAA,AL,0.7,32,108,99,19,29,4,2,9,26,0,0,5,15,0.293,0.324,0.646,0.971,157,0.399,152,64,0,1,0,3,0
292,Luis Rengifo#,,23,LAA,AL,-0.3,33,106,90,12,14,1,0,1,3,3,1,14,26,0.156,0.269,0.2,0.469,32,0.235,35,18,2,0,2,0,0
293,Brock Holt*,,32,2TM,NL,-0.7,36,106,95,12,20,6,0,0,5,1,0,9,24,0.211,0.283,0.274,0.557,52,0.255,47,26,3,1,0,1,0
293,Brock Holt*,,32,MIL,NL,-0.6,16,36,30,1,3,0,0,0,1,0,0,4,9,0.1,0.222,0.1,0.322,-9,0.168,-14,3,2,1,0,1,0
293,Brock Holt*,,32,WSN,NL,0,20,70,65,11,17,6,0,0,4,1,0,5,15,0.262,0.314,0.354,0.668,81,0.3,78,23,1,0,0,0,0
294,Max Stassi,,29,LAA,AL,1,31,105,90,12,25,2,0,7,20,0,0,11,21,0.278,0.352,0.533,0.886,138,0.371,132,48,5,1,0,3,0
295,Tyler Wade*,,25,NYY,AL,0.7,52,105,88,19,15,3,0,3,10,4,1,12,22,0.17,0.288,0.307,0.595,67,0.283,71,27,1,3,1,1,0
296,Austin Barnes,,30,LAD,NL,0.7,29,104,86,14,21,3,0,1,9,3,0,13,24,0.244,0.353,0.314,0.667,84,0.321,90,27,0,2,2,1,0
297,Austin Slater,,27,SFG,NL,0.9,31,104,85,18,24,2,1,5,7,8,1,16,22,0.282,0.408,0.506,0.914,151,0.407,151,43,2,2,1,0,0
298,Josh Naylor*,,23,2TM,2LG,0,40,104,97,13,24,3,1,1,6,1,0,5,12,0.247,0.291,0.33,0.621,71,0.287,73,32,2,1,0,0,0
298,Josh Naylor*,,23,SDP,NL,0,18,38,36,4,10,0,1,1,4,1,0,1,4,0.278,0.316,0.417,0.732,102,0.347,116,15,2,1,0,0,0
298,Josh Naylor*,,23,CLE,AL,0,22,66,61,9,14,3,0,0,2,0,0,4,8,0.23,0.277,0.279,0.556,54,0.252,48,17,0,0,0,0,0
299,Jay Bruce*,,33,PHI,NL,0.2,32,103,96,11,19,4,2,6,14,0,0,7,24,0.198,0.252,0.469,0.721,89,0.315,90,45,1,0,0,0,1
300,Joshua Fuentes,,27,COL,NL,1.1,30,103,98,14,30,7,0,2,17,1,0,2,29,0.306,0.32,0.439,0.759,92,0.335,90,43,1,1,0,2,0
301,Josh Donaldson,,34,MIN,AL,0.5,28,102,81,14,18,2,0,6,11,0,0,18,24,0.222,0.373,0.469,0.842,132,0.359,127,38,4,2,0,1,1
302,Phil Gosselin,,31,PHI,NL,-0.1,39,102,92,14,23,5,0,3,12,0,0,10,27,0.25,0.324,0.402,0.726,95,0.322,95,37,3,0,0,0,1
303,Taylor Ward,,26,LAA,AL,0.1,34,102,94,16,26,6,2,0,5,2,0,8,28,0.277,0.333,0.383,0.716,96,0.337,105,36,1,0,0,0,0
304,Ehire Adrianza#,,30,MIN,AL,0.2,44,101,89,10,17,7,0,0,3,1,0,11,23,0.191,0.287,0.27,0.557,57,0.259,55,24,3,1,0,0,0
305,Dexter Fowler#,,34,STL,NL,0,31,101,90,14,21,2,0,4,15,1,1,10,28,0.233,0.317,0.389,0.706,95,0.309,94,35,2,1,0,0,0
306,Edward Olivares,,24,2TM,2LG,-0.8,31,101,96,9,23,2,1,3,10,0,2,4,25,0.24,0.267,0.375,0.642,73,0.262,63,36,1,0,0,1,0
306,Edward Olivares,,24,SDP,NL,-0.5,13,36,34,4,6,1,0,1,3,0,1,2,14,0.176,0.222,0.294,0.516,43,0.214,37,10,0,0,0,0,0
306,Edward Olivares,,24,KCR,AL,-0.3,18,65,62,5,17,1,1,2,7,0,1,2,11,0.274,0.292,0.419,0.712,90,0.29,78,26,1,0,0,1,0
307,Cameron Maybin,,33,2TM,2LG,0,32,101,93,8,23,8,1,1,7,3,0,7,25,0.247,0.307,0.387,0.694,88,0.316,88,36,4,1,0,0,0
307,Cameron Maybin,,33,DET,AL,-0.1,14,45,41,5,10,4,0,1,2,0,0,4,13,0.244,0.311,0.415,0.726,98,0.313,93,17,3,0,0,0,0
307,Cameron Maybin,,33,CHC,NL,0.1,18,56,52,3,13,4,1,0,5,3,0,3,12,0.25,0.304,0.365,0.669,80,0.319,84,19,1,1,0,0,0
308,Jorge Alfaro,,27,MIA,NL,-0.4,31,100,93,12,21,2,0,3,16,2,0,4,36,0.226,0.28,0.344,0.624,68,0.276,59,32,2,3,0,0,1
309,Howie Kendrick,,36,WSN,NL,-0.2,25,100,91,11,25,4,0,2,14,0,0,7,17,0.275,0.32,0.385,0.705,91,0.299,79,35,4,0,0,2,2
310,Darin Ruf,,33,SFG,NL,0.8,40,100,87,11,24,6,0,5,18,1,0,13,23,0.276,0.37,0.517,0.887,142,0.4,153,45,1,0,0,0,0
311,David Dahl*,,26,COL,NL,-1,24,99,93,9,17,2,2,0,9,1,0,4,28,0.183,0.222,0.247,0.47,20,0.221,11,23,0,1,0,1,0
312,Khris Davis,,32,OAK,AL,-0.3,30,99,85,9,17,5,0,2,10,0,0,10,26,0.2,0.303,0.329,0.632,78,0.284,76,28,5,3,0,1,0
313,Christin Stewart*,,26,DET,AL,-0.6,36,99,90,6,15,3,0,3,9,0,0,5,30,0.167,0.224,0.3,0.524,43,0.23,34,27,2,2,0,1,0
314,Michael A. Taylor,,29,WSN,NL,-0.4,38,99,92,11,18,6,0,5,16,0,0,6,27,0.196,0.253,0.424,0.676,79,0.283,69,39,2,1,0,0,0
315,Jake Lamb*,,29,2TM,2LG,-0.3,31,99,88,7,17,5,0,3,10,0,1,8,25,0.193,0.283,0.352,0.635,74,0.286,77,31,1,3,0,0,0
315,Jake Lamb*,,29,ARI,NL,-0.4,18,50,43,2,5,1,0,0,1,0,1,6,17,0.116,0.24,0.14,0.38,7,0.204,21,6,0,1,0,0,0
315,Jake Lamb*,,29,OAK,AL,0.1,13,49,45,5,12,4,0,3,9,0,0,2,8,0.267,0.327,0.556,0.882,141,0.37,136,25,1,2,0,0,0
316,Mike Brosseau,,26,TBR,AL,1.2,36,98,86,12,26,5,1,5,12,2,0,8,31,0.302,0.378,0.558,0.936,160,0.407,161,48,1,3,0,1,0
317,José Martínez,,31,2TM,2LG,-0.5,34,98,88,10,16,4,0,2,10,0,0,10,27,0.182,0.265,0.295,0.561,57,0.256,57,26,6,0,0,0,1
317,José Martínez,,31,TBR,AL,0.2,24,76,67,10,16,4,0,2,10,0,0,9,20,0.239,0.329,0.388,0.717,102,0.322,105,26,5,0,0,0,1
317,José Martínez,,31,CHC,NL,-0.6,10,22,21,0,0,0,0,0,0,0,0,1,7,0,0.045,0,0.045,-86,0.032,-107,0,1,0,0,0,0
318,Abraham Toro#,,23,HOU,AL,-0.7,33,97,87,13,13,2,0,3,9,1,1,3,23,0.149,0.237,0.276,0.513,40,0.249,47,24,1,7,0,0,0
319,Ke'Bryan Hayes,,23,PIT,NL,1.9,24,95,85,17,32,7,2,5,11,1,0,9,20,0.376,0.442,0.682,1.124,201,0.467,198,58,2,1,0,0,2
320,Jorge Bonifacio,,27,DET,AL,-0.3,30,94,86,8,19,3,0,2,17,0,0,5,26,0.221,0.277,0.326,0.602,65,0.266,59,28,1,2,0,1,0
321,Giancarlo Stanton,,30,NYY,AL,0.6,23,94,76,12,19,7,0,4,11,1,1,15,27,0.25,0.387,0.5,0.887,145,0.387,150,38,4,2,0,0,1
322,Pablo Sandoval#,,33,2TM,NL,-0.5,34,94,84,5,18,1,0,1,6,0,0,8,19,0.214,0.287,0.262,0.549,54,0.261,57,22,3,1,0,1,0
322,Pablo Sandoval#,,33,SFG,NL,-0.5,33,90,82,5,18,1,0,1,6,0,0,6,18,0.22,0.278,0.268,0.546,52,0.257,55,22,3,1,0,1,0
322,Pablo Sandoval#,,33,ATL,NL,0,1,4,2,0,0,0,0,0,0,0,0,2,1,0,0.5,0,0.5,50,0.352,110,0,0,0,0,0,0
323,Curt Casali,,31,CIN,NL,0.5,31,93,76,10,17,3,0,6,8,2,0,14,29,0.224,0.366,0.5,0.866,123,0.376,121,38,2,3,0,0,0
324,Adam Engel,,28,CHW,AL,0.7,36,93,88,11,26,5,1,3,12,1,0,3,19,0.295,0.333,0.477,0.811,120,0.366,128,42,1,2,0,0,0
325,Óscar Mercado,,25,CLE,AL,-0.5,36,93,86,6,11,1,0,1,6,3,0,5,27,0.128,0.174,0.174,0.348,-4,0.177,-10,15,0,0,1,1,0
326,Michael Pérez*,,27,TBR,AL,-0.2,38,93,84,7,14,3,0,1,13,0,0,7,27,0.167,0.237,0.238,0.475,35,0.218,32,20,3,1,0,1,0
327,Bobby Dalbec,,25,BOS,AL,0.6,23,92,80,13,21,3,0,8,16,0,0,10,39,0.263,0.359,0.6,0.959,149,0.4,146,48,0,2,0,0,0
328,Adam Haseley*,,24,PHI,NL,0,40,92,79,7,22,5,0,0,13,0,0,7,17,0.278,0.348,0.342,0.69,88,0.326,98,27,3,2,3,1,1
329,Jordan Luplow,,26,CLE,AL,-0.1,29,92,78,8,15,5,1,2,8,0,1,12,19,0.192,0.304,0.359,0.663,81,0.288,78,28,3,1,0,1,0
330,Jason Castro*,,33,2TM,2LG,-0.2,27,92,80,8,15,9,0,2,9,0,0,12,33,0.188,0.293,0.375,0.668,83,0.294,80,30,2,0,0,0,0
330,Jason Castro*,,33,LAA,AL,0,18,62,52,5,10,4,0,2,6,0,0,10,23,0.192,0.323,0.385,0.707,93,0.314,92,20,1,0,0,0,0
330,Jason Castro*,,33,SDP,NL,-0.2,9,30,28,3,5,5,0,0,3,0,0,2,10,0.179,0.233,0.357,0.59,61,0.253,54,10,1,0,0,0,0
331,Josh Harrison,,32,WSN,NL,0.3,33,91,79,11,22,2,0,3,14,1,2,6,12,0.278,0.352,0.418,0.769,108,0.329,107,33,2,4,0,2,0
332,Andrew Knapp#,,28,PHI,NL,0.8,33,89,72,9,20,4,1,2,15,0,0,15,19,0.278,0.404,0.444,0.849,130,0.383,137,32,1,1,0,1,0
333,Kevin Plawecki,,29,BOS,AL,0.6,24,89,82,8,28,5,1,1,17,1,0,5,14,0.341,0.393,0.463,0.857,128,0.385,133,38,4,2,0,0,0
334,Phil Ervin,,27,2TM,2LG,0,37,89,74,10,11,3,0,0,4,1,0,14,22,0.149,0.292,0.189,0.481,35,0.252,45,14,2,1,0,0,0
334,Phil Ervin,,27,CIN,NL,-0.3,19,42,35,5,3,0,0,0,0,1,0,6,8,0.086,0.238,0.086,0.324,-10,0.205,2,3,1,1,0,0,0
334,Phil Ervin,,27,SEA,AL,0.3,18,47,39,5,8,3,0,0,4,0,0,8,14,0.205,0.34,0.282,0.622,79,0.293,84,11,1,0,0,0,0
335,Ronald Guzmán*,,25,TEX,AL,0.5,26,86,78,10,19,1,1,4,9,1,0,7,24,0.244,0.314,0.436,0.75,105,0.347,115,34,0,1,0,0,0
336,Myles Straw,,25,HOU,AL,-0.5,33,86,82,8,17,4,0,0,8,6,2,4,22,0.207,0.244,0.256,0.5,37,0.237,35,21,0,0,0,0,0
337,Ryan McBroom,,28,KCR,AL,0,36,85,81,8,20,3,0,6,10,0,0,4,30,0.247,0.282,0.506,0.789,107,0.341,108,41,2,0,0,0,0
338,Mike Ford*,,27,NYY,AL,-0.5,29,84,74,5,10,4,0,2,11,0,0,7,16,0.135,0.226,0.27,0.496,38,0.243,47,20,4,2,0,1,0
339,Domingo Santana,,27,CLE,AL,-0.3,24,84,70,6,11,3,0,2,12,0,0,13,25,0.157,0.298,0.286,0.583,62,0.271,62,20,2,1,0,0,0
340,Mike Zunino,,29,TBR,AL,-0.1,28,84,75,8,11,4,0,4,10,0,0,6,37,0.147,0.238,0.36,0.598,66,0.261,62,27,0,3,0,0,0
341,Edwin Ríos*,,26,LAD,NL,0.6,32,83,76,13,19,6,0,8,17,0,0,4,18,0.25,0.301,0.645,0.946,147,0.394,146,49,2,2,0,1,0
342,Jose Trevino,,27,TEX,AL,0.4,24,83,76,10,19,8,0,2,9,0,0,3,15,0.25,0.28,0.434,0.715,94,0.311,92,33,1,1,1,2,0
343,Austin Hedges,,27,2TM,2LG,-0.1,35,83,69,7,10,1,0,3,6,1,1,6,23,0.145,0.231,0.29,0.521,44,0.23,38,20,3,2,5,1,0
343,Austin Hedges,,27,SDP,NL,0,29,71,57,7,9,1,0,3,6,1,1,6,18,0.158,0.258,0.333,0.591,63,0.258,58,19,3,2,5,1,0
343,Austin Hedges,,27,CLE,AL,-0.1,6,12,12,0,1,0,0,0,0,0,0,0,5,0.083,0.083,0.083,0.167,-54,0.075,-75,1,0,0,0,0,0
344,Tim Locastro,,27,ARI,NL,0.7,33,82,69,15,20,4,1,2,7,4,0,8,14,0.29,0.395,0.464,0.859,133,0.399,142,32,0,4,1,0,0
345,José Osuna,,27,PIT,NL,-0.1,26,82,78,6,16,3,0,4,11,0,1,4,16,0.205,0.244,0.397,0.641,71,0.278,70,31,1,0,0,0,0
346,Dee Strange-Gordon*,,32,SEA,AL,-0.5,33,82,75,12,15,1,0,0,3,3,2,5,13,0.2,0.268,0.213,0.482,39,0.231,43,16,1,2,0,0,0
347,Robinson Chirinos,,36,2TM,2LG,-0.7,26,82,74,4,12,3,0,1,7,0,0,6,21,0.162,0.232,0.243,0.475,32,0.216,26,18,5,1,0,1,0
347,Robinson Chirinos,,36,TEX,AL,-0.7,14,49,42,3,5,1,0,0,2,0,0,5,12,0.119,0.224,0.143,0.367,5,0.185,4,6,3,1,0,1,0
347,Robinson Chirinos,,36,NYM,NL,-0.1,12,33,32,1,7,2,0,1,5,0,0,1,9,0.219,0.242,0.375,0.617,67,0.262,58,12,2,0,0,0,0
