rank,player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
348,Mitch Garver,,29,MIN,AL,0,23,81,72,8,12,1,0,2,5,0,0,7,37,0.167,0.247,0.264,0.511,42,0.242,45,19,1,1,0,1,0
349,Sandy León#,,31,CLE,AL,-0.1,25,81,66,4,9,1,0,2,4,0,0,14,21,0.136,0.296,0.242,0.539,51,0.258,53,16,2,1,0,0,0
350,Stephen Vogt*,,35,ARI,NL,0,26,81,72,6,12,5,0,1,7,0,0,8,18,0.167,0.247,0.278,0.525,43,0.248,44,20,1,0,0,1,0
351,Jonathan Araúz#,,21,BOS,AL,-0.1,25,80,72,8,18,2,0,1,9,0,0,8,21,0.25,0.325,0.319,0.644,73,0.293,71,23,0,0,0,0,0
352,Tyler Flowers,,34,ATL,NL,0.4,22,80,69,5,15,6,0,1,5,0,0,8,34,0.217,0.325,0.348,0.673,78,0.304,77,24,1,3,0,0,0
353,Josh VanMeter*,,25,2TM,NL,-0.1,26,79,70,9,9,3,0,2,6,1,0,7,24,0.129,0.228,0.257,0.485,29,0.237,31,18,0,2,0,0,0
353,Josh VanMeter*,,25,CIN,NL,-0.3,14,38,34,3,2,1,0,1,1,1,0,3,16,0.059,0.158,0.176,0.334,-13,0.165,-27,6,0,1,0,0,0
353,Josh VanMeter*,,25,ARI,NL,0.3,12,41,36,6,7,2,0,1,5,0,0,4,8,0.194,0.293,0.333,0.626,70,0.304,84,12,0,1,0,0,0
354,Nick Senzel,,25,CIN,NL,-0.2,23,78,70,8,13,6,0,2,8,2,1,6,15,0.186,0.247,0.357,0.604,55,0.259,42,25,2,0,0,1,0
355,Luis Torrens,,24,2TM,2LG,-0.1,25,78,70,5,18,5,0,1,6,0,0,7,15,0.257,0.325,0.371,0.696,96,0.308,94,26,1,0,1,0,0
355,Luis Torrens,,24,SDP,NL,-0.1,7,13,11,0,3,1,0,0,0,0,0,1,2,0.273,0.333,0.364,0.697,95,0.312,95,4,0,0,1,0,0
355,Luis Torrens,,24,SEA,AL,0,18,65,59,5,15,4,0,1,6,0,0,6,13,0.254,0.323,0.373,0.696,96,0.308,94,22,1,0,0,0,0
356,Anderson Tejeda#,,22,TEX,AL,0.4,23,77,75,7,19,4,1,3,8,4,1,2,30,0.253,0.273,0.453,0.726,96,0.312,89,34,2,0,0,0,0
357,Andrew Velazquez#,,25,BAL,AL,0.2,40,77,63,11,10,1,1,0,3,4,2,10,23,0.159,0.274,0.206,0.48,34,0.237,34,13,2,0,4,0,0
358,Randy Arozarena,,25,TBR,AL,0.9,23,76,64,15,18,2,0,7,11,4,0,6,22,0.281,0.382,0.641,1.022,182,0.433,174,41,2,5,0,1,0
359,Nathaniel Lowe*,,24,TBR,AL,0.3,21,76,67,10,15,2,0,4,11,1,0,9,28,0.224,0.316,0.433,0.749,109,0.319,100,29,2,0,0,0,2
360,Derek Dietrich*,,30,TEX,AL,0.2,25,75,61,9,12,1,0,5,8,1,1,9,21,0.197,0.347,0.459,0.806,121,0.359,128,28,4,5,0,0,0
361,Elias Díaz,,29,COL,NL,0,26,73,68,4,16,2,0,2,9,0,0,5,15,0.235,0.288,0.353,0.641,63,0.295,64,24,4,0,0,0,0
362,Dwight Smith Jr.*,,27,BAL,AL,-0.5,21,72,63,9,14,3,0,2,6,1,0,7,19,0.222,0.306,0.365,0.671,82,0.29,71,23,1,1,0,1,1
363,Greg Garcia*,,30,SDP,NL,-0.2,35,71,60,6,12,3,0,0,11,1,0,7,18,0.2,0.279,0.25,0.529,50,0.247,45,15,0,0,3,1,0
364,Vimael Machín*,,26,OAK,AL,-0.4,24,71,63,11,13,2,0,0,0,0,0,8,10,0.206,0.296,0.238,0.534,53,0.265,63,15,4,0,0,0,0
365,Kyle Farmer,,29,CIN,NL,0.4,32,70,64,4,17,3,0,0,4,1,0,5,13,0.266,0.329,0.313,0.641,69,0.307,74,20,0,1,0,0,0
366,Josh Rojas*,,26,ARI,NL,-0.3,17,70,61,9,11,0,0,0,2,1,1,7,16,0.18,0.257,0.18,0.437,22,0.217,26,11,1,0,0,2,0
367,Gavin Lux*,,22,LAD,NL,0.6,19,69,63,8,11,2,0,3,8,1,0,6,19,0.175,0.246,0.349,0.596,59,0.276,61,22,0,0,0,0,0
368,JT Riddle*,,28,PIT,NL,-0.8,23,69,67,8,10,2,0,1,1,1,0,2,13,0.149,0.174,0.224,0.398,8,0.204,13,15,0,0,0,0,0
369,Jose Barrero,,22,CIN,NL,-0.7,24,68,67,4,13,0,0,0,2,1,1,1,26,0.194,0.206,0.194,0.4,6,0.174,-13,13,1,0,0,0,0
370,Luis Guillorme*,,25,NYM,NL,0.7,29,68,57,6,19,6,0,0,9,2,0,10,17,0.333,0.426,0.439,0.865,140,0.39,143,25,3,0,0,1,0
371,Jeff Mathis,,37,TEX,AL,0.5,24,68,62,6,10,1,1,3,9,1,0,5,24,0.161,0.221,0.355,0.575,56,0.249,46,22,0,0,0,1,0
372,Santiago Espinal,,25,TOR,AL,0.4,26,66,60,10,16,4,0,0,6,1,0,4,16,0.267,0.308,0.333,0.641,77,0.301,81,20,1,0,1,1,0
373,Jarrod Dyson*,,35,2TM,2LG,-0.8,32,66,61,9,11,0,0,0,5,6,0,4,11,0.18,0.231,0.18,0.411,15,0.214,7,11,0,0,1,0,0
373,Jarrod Dyson*,,35,PIT,NL,-0.6,21,55,51,6,8,0,0,0,5,4,0,4,10,0.157,0.218,0.157,0.375,5,0.196,-2,8,0,0,0,0,0
373,Jarrod Dyson*,,35,CHW,AL,-0.2,11,11,10,3,3,0,0,0,0,2,0,0,1,0.3,0.3,0.3,0.6,67,0.317,59,3,0,0,1,0,0
374,Miguel Andujar,,25,NYY,AL,-0.4,21,65,62,5,15,2,1,1,5,0,0,3,9,0.242,0.277,0.355,0.632,75,0.287,77,22,1,0,0,0,0
375,Bubba Starling,,27,KCR,AL,-0.7,35,64,59,5,10,1,0,1,5,0,0,4,27,0.169,0.219,0.237,0.456,24,0.219,23,14,0,0,0,1,0
376,Chadwick Tromp,,25,SFG,NL,-0.2,24,64,61,11,13,1,0,4,10,0,0,1,20,0.213,0.219,0.426,0.645,72,0.278,69,26,3,0,0,2,0
377,Starlin Castro,,30,WSN,NL,0.3,16,63,60,9,16,3,1,2,4,0,0,3,13,0.267,0.302,0.45,0.752,100,0.335,105,27,0,0,0,0,0
378,Leury García#,,29,CHW,AL,0.6,16,63,59,6,16,1,0,3,8,0,0,4,9,0.271,0.317,0.441,0.758,106,0.34,111,26,0,0,0,0,0
379,Adeiny Hechavarría,,31,ATL,NL,-0.2,27,63,59,7,15,3,0,0,2,0,0,4,12,0.254,0.302,0.305,0.607,61,0.285,63,18,1,0,0,0,0
380,John Ryan Murphy,,29,PIT,NL,-0.3,25,63,58,6,10,2,0,0,2,0,0,4,28,0.172,0.226,0.207,0.433,20,0.2,11,12,1,0,1,0,0
381,Danny Santana#,,29,TEX,AL,-0.1,15,63,55,6,8,4,0,1,7,2,0,7,24,0.145,0.238,0.273,0.511,41,0.238,36,15,1,0,0,1,0
382,Alex Avila*,,33,MIN,AL,0.4,23,62,49,6,9,2,0,1,2,0,0,11,22,0.184,0.355,0.286,0.641,82,0.305,88,14,2,2,0,0,0
383,Francisco Cervelli,,34,MIA,NL,0.8,16,62,53,10,13,2,0,3,7,1,0,8,14,0.245,0.355,0.453,0.808,117,0.401,147,24,3,1,0,0,0
384,Jazz Chisholm Jr.*,,22,MIA,NL,-0.1,21,62,56,8,9,1,1,2,6,2,2,5,19,0.161,0.242,0.321,0.563,51,0.255,55,18,0,1,0,0,0
385,Ryan Jeffers,,23,MIN,AL,0.3,26,62,55,5,15,0,0,3,7,0,0,5,19,0.273,0.355,0.436,0.791,119,0.362,129,24,0,2,0,0,0
386,Jace Peterson*,,30,MIL,NL,0.1,26,61,45,6,9,1,0,2,5,1,0,15,20,0.2,0.393,0.356,0.749,104,0.346,106,16,0,0,0,1,0
387,Chad Pinder,,28,OAK,AL,0,24,61,56,8,13,3,0,2,8,0,0,5,13,0.232,0.295,0.393,0.688,91,0.299,87,22,3,0,0,0,0
388,Anthony Bemboom*,,30,LAA,AL,0.4,21,60,48,9,10,1,0,3,5,0,1,7,13,0.208,0.328,0.417,0.744,103,0.314,98,20,0,2,2,1,0
389,Cam Gallagher,,27,KCR,AL,0.5,25,60,53,10,15,5,0,1,3,0,0,6,11,0.283,0.356,0.434,0.79,113,0.346,112,23,0,0,1,0,0
390,Daz Cameron,,23,DET,AL,-0.5,17,59,57,4,11,2,1,0,3,1,0,2,19,0.193,0.22,0.263,0.483,33,0.23,31,15,1,0,0,0,0
391,Aledmys Díaz,,29,HOU,AL,0.1,17,59,58,8,14,5,0,3,6,0,0,1,12,0.241,0.254,0.483,0.737,95,0.308,87,28,1,0,0,0,0
392,Brett Phillips*,,26,2TM,AL,0.3,35,59,51,10,10,0,2,2,5,6,1,8,15,0.196,0.305,0.392,0.697,91,0.335,97,20,0,0,0,0,0
392,Brett Phillips*,,26,KCR,AL,0,18,34,31,8,7,0,1,1,2,3,1,3,8,0.226,0.294,0.387,0.681,83,0.327,94,12,0,0,0,0,0
392,Brett Phillips*,,26,TBR,AL,0.3,17,25,20,2,3,0,1,1,3,3,0,5,7,0.15,0.32,0.4,0.72,102,0.345,102,8,0,0,0,0,0
393,Jon Jay*,,35,ARI,NL,-0.5,18,57,50,5,8,1,0,1,4,0,0,3,12,0.16,0.211,0.24,0.451,22,0.201,12,12,0,1,0,3,0
394,Tzu-Wei Lin*,,26,BOS,AL,-0.5,26,57,52,2,8,1,0,0,3,0,0,2,17,0.154,0.182,0.173,0.355,-4,0.175,-16,9,1,0,2,1,0
395,Aristides Aquino,,26,CIN,NL,-0.1,23,56,47,7,8,1,0,2,8,1,0,6,18,0.17,0.304,0.319,0.623,63,0.308,74,15,1,3,0,0,0
396,Hunter Pence,,37,SFG,NL,-0.5,17,56,52,4,5,0,1,2,6,0,0,3,15,0.096,0.161,0.25,0.411,11,0.181,2,13,3,1,0,0,0
397,Chris Davis*,,34,BAL,AL,-1,16,55,52,3,6,3,0,0,1,0,0,3,17,0.115,0.164,0.173,0.337,-8,0.153,-23,9,0,0,0,0,0
398,Grayson Greiner,,27,DET,AL,-0.3,18,55,51,8,6,2,0,3,8,0,0,3,20,0.118,0.182,0.333,0.515,38,0.22,28,17,2,1,0,0,0
399,Christian Arroyo,,25,2TM,AL,0.2,15,54,50,7,12,1,0,3,8,0,0,4,11,0.24,0.296,0.44,0.736,93,0.314,86,22,2,0,0,0,0
399,Christian Arroyo,,25,CLE,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
399,Christian Arroyo,,25,BOS,AL,0.2,14,54,50,7,12,1,0,3,8,0,0,4,11,0.24,0.296,0.44,0.736,93,0.314,86,22,2,0,0,0,0
400,Matt Beaty*,,27,LAD,NL,-0.4,21,54,50,8,11,1,0,2,5,0,0,2,14,0.22,0.278,0.36,0.638,72,0.277,65,18,3,2,0,0,0
401,Harold Castro*,,26,DET,AL,0.4,22,54,49,6,17,4,0,0,3,0,0,5,11,0.347,0.407,0.429,0.836,131,0.37,132,21,1,0,0,0,0
402,Sam Haggerty#,,26,SEA,AL,0.2,13,54,50,7,13,4,0,1,6,4,0,4,16,0.26,0.315,0.4,0.715,100,0.347,109,20,0,0,0,0,0
403,Scott Heineman,,27,TEX,AL,-0.3,24,54,52,6,8,3,0,1,7,3,0,2,11,0.154,0.185,0.269,0.454,24,0.209,12,14,1,0,0,0,0
404,Jacob Nottingham,,25,MIL,NL,0.5,20,54,48,8,9,1,0,4,13,0,0,5,20,0.188,0.278,0.458,0.736,93,0.327,96,22,1,1,0,0,0
405,Ildemaro Vargas#,,28,3TM,2LG,-0.5,24,54,51,6,10,1,1,1,3,0,0,2,10,0.196,0.222,0.314,0.536,45,0.227,32,16,2,0,0,1,0
405,Ildemaro Vargas#,,28,2TM,NL,-0.3,14,30,29,3,5,0,0,1,1,0,0,1,8,0.172,0.2,0.276,0.476,27,0.206,15,8,1,0,0,0,0
405,Ildemaro Vargas#,,28,ARI,NL,-0.4,8,21,20,2,3,0,0,0,0,0,0,1,5,0.15,0.19,0.15,0.34,-5,0.158,-18,3,1,0,0,0,0
405,Ildemaro Vargas#,,28,MIN,AL,-0.2,10,24,22,3,5,1,1,0,2,0,0,1,2,0.227,0.25,0.364,0.614,68,0.254,53,8,1,0,0,1,0
405,Ildemaro Vargas#,,28,CHC,NL,0,6,9,9,1,2,0,0,1,1,0,0,0,3,0.222,0.222,0.556,0.778,100,0.318,92,5,0,0,0,0,0
406,Magneuris Sierra*,,24,MIA,NL,0.4,19,53,44,8,11,3,1,0,7,4,1,5,9,0.25,0.333,0.364,0.697,89,0.331,95,16,0,1,2,1,0
407,Andrew Benintendi*,,25,BOS,AL,-0.1,14,52,39,4,4,1,0,0,1,1,2,11,17,0.103,0.314,0.128,0.442,25,0.239,43,5,1,1,1,0,0
408,C.J. Cron,,30,DET,AL,0.3,13,52,42,9,8,3,0,4,8,0,0,9,16,0.19,0.346,0.548,0.894,141,0.374,135,23,2,1,0,0,0
409,Thairo Estrada,,24,NYY,AL,-0.1,26,52,48,8,8,0,0,1,3,1,0,1,19,0.167,0.231,0.229,0.46,29,0.236,39,11,0,3,0,0,0
410,Eli White,,26,TEX,AL,-0.3,19,52,48,5,9,2,0,0,3,1,1,3,16,0.188,0.231,0.229,0.46,28,0.203,21,11,0,0,0,1,0
411,Matt Adams*,,31,ATL,NL,-0.4,16,51,49,4,9,2,0,2,9,0,0,2,18,0.184,0.216,0.347,0.563,45,0.257,44,17,3,0,0,0,0
412,Monte Harrison,,24,MIA,NL,-0.2,32,51,47,8,8,1,0,1,3,6,0,4,26,0.17,0.235,0.255,0.491,33,0.246,23,12,0,0,0,0,0
413,Tyler Heineman#,,29,SFG,NL,0.1,15,50,42,3,8,1,0,0,1,1,0,4,6,0.19,0.292,0.214,0.506,44,0.249,44,9,0,2,2,0,0
414,Bradley Zimmer*,,27,CLE,AL,0.1,20,50,37,3,6,0,0,1,3,2,1,7,14,0.162,0.36,0.243,0.603,71,0.295,80,9,2,5,0,1,0
415,Brandon Drury,,27,TOR,AL,-0.9,21,49,46,3,7,1,0,0,1,0,0,2,9,0.152,0.184,0.174,0.358,0,0.162,-13,8,0,0,0,1,0
416,Kyle Higashioka,,30,NYY,AL,0.4,16,48,48,7,12,1,0,4,10,0,0,0,11,0.25,0.25,0.521,0.771,107,0.319,100,25,0,0,0,0,0
417,Chad Wallach,,28,MIA,NL,0.2,15,48,44,4,10,3,0,1,6,0,0,3,12,0.227,0.277,0.364,0.64,71,0.296,76,16,1,0,1,0,0
418,Matt Davidson,,29,CIN,NL,-0.3,20,47,43,3,7,1,0,3,11,0,0,4,13,0.163,0.234,0.395,0.629,60,0.269,50,17,2,0,0,0,0
419,Jack Mayfield,,29,HOU,AL,-0.2,21,47,42,5,8,1,0,0,3,0,0,2,14,0.19,0.239,0.214,0.453,26,0.21,16,9,1,1,1,1,0
420,Mallex Smith*,,27,SEA,AL,-0.5,14,47,45,2,6,2,0,0,3,2,0,2,13,0.133,0.17,0.178,0.348,-2,0.184,1,8,1,0,0,0,0
421,Andrew Stevenson*,,26,WSN,NL,0.8,15,47,41,11,15,7,1,2,12,2,0,5,11,0.366,0.447,0.732,1.179,212,0.495,209,30,0,1,0,0,0
422,Dustin Garneau,,32,HOU,AL,-0.4,17,46,38,4,6,0,1,1,4,0,0,6,15,0.158,0.273,0.289,0.562,54,0.255,48,11,1,0,2,0,0
423,Phillip Evans,,27,PIT,NL,0,11,45,39,6,14,2,0,1,9,0,1,5,7,0.359,0.444,0.487,0.932,155,0.395,156,19,1,1,0,0,0
424,Reese McGuire*,,25,TOR,AL,-0.4,19,45,41,2,3,0,0,1,1,0,0,0,11,0.073,0.073,0.146,0.22,-42,0.112,-63,6,1,0,4,0,0
425,Yairo Muñoz,,25,BOS,AL,0.6,12,45,45,6,15,5,0,1,4,2,0,0,11,0.333,0.333,0.511,0.844,121,0.369,117,23,1,0,0,0,0
426,Manny Piña,,33,MIL,NL,0.6,15,45,39,4,9,1,0,2,5,0,0,3,11,0.231,0.333,0.41,0.744,98,0.33,99,16,0,3,0,0,0
427,Joseph Odom,,28,SEA,AL,-0.2,18,44,39,2,5,0,0,0,2,0,0,4,20,0.128,0.209,0.128,0.338,-1,0.209,23,5,1,0,1,0,0
428,Chris Owings,,28,COL,NL,0.2,17,44,41,9,11,1,0,2,5,1,0,3,11,0.268,0.318,0.439,0.757,91,0.332,86,18,0,0,0,0,0
429,Pavin Smith*,,24,ARI,NL,0.2,12,44,37,7,10,0,1,1,4,1,0,5,8,0.27,0.341,0.405,0.746,102,0.322,92,15,0,0,0,2,0
430,LaMonte Wade Jr.*,,26,MIN,AL,0,16,44,39,3,9,3,0,0,1,1,1,4,9,0.231,0.318,0.308,0.626,76,0.276,73,12,0,1,0,0,0
431,Drew Butera,,36,COL,NL,-0.2,28,43,39,4,6,2,0,0,4,0,0,2,11,0.154,0.19,0.205,0.396,2,0.197,-7,8,3,0,1,1,0
432,Mike Freeman*,,32,CLE,AL,-0.1,24,43,38,5,9,3,0,0,3,0,0,3,11,0.237,0.302,0.316,0.618,70,0.275,65,12,0,1,0,1,0
433,Franchy Cordero*,,25,KCR,AL,0,16,42,38,7,8,3,0,2,7,1,0,4,4,0.211,0.286,0.447,0.733,94,0.316,87,17,1,0,0,0,0
434,Francisco Mejia#,,24,SDP,NL,-0.3,17,42,39,5,3,1,0,1,2,0,0,1,9,0.077,0.143,0.179,0.322,-11,0.149,-18,7,1,2,0,0,0
435,Eddy Alvarez*,,30,MIA,NL,0,12,41,37,6,7,1,0,0,2,2,0,3,16,0.189,0.268,0.216,0.485,34,0.258,42,8,0,1,0,0,0
436,Lewin Díaz*,,23,MIA,NL,-0.3,14,41,39,2,6,2,0,0,3,0,0,2,12,0.154,0.195,0.205,0.4,9,0.182,-2,8,2,0,0,0,0
437,Jonah Heim#,,25,OAK,AL,0.1,13,41,38,5,8,0,0,0,5,0,0,3,3,0.211,0.268,0.211,0.479,37,0.224,34,8,1,0,0,0,0
438,Rangel Ravelo,,28,STL,NL,-0.2,13,41,35,5,6,1,0,1,6,0,0,4,6,0.171,0.244,0.286,0.53,47,0.232,39,10,0,0,0,2,0
439,Tyrone Taylor,,26,MIL,NL,0.2,22,41,38,6,9,4,0,2,6,0,0,2,8,0.237,0.293,0.5,0.793,107,0.332,100,19,1,1,0,0,0
440,Neil Walker#,,34,PHI,NL,-0.1,18,41,39,5,9,3,0,0,3,0,0,1,13,0.231,0.244,0.308,0.552,48,0.239,37,12,0,0,0,1,0
441,Matt Wieters#,,34,STL,NL,0,19,41,35,3,7,1,0,0,4,0,0,3,10,0.2,0.3,0.229,0.529,50,0.253,52,8,1,2,1,0,0
442,Lane Thomas,,24,STL,NL,-0.2,18,40,36,5,4,2,0,1,2,0,0,4,13,0.111,0.2,0.25,0.45,24,0.204,19,9,1,0,0,0,0
443,Derek Fisher*,,26,TOR,AL,-0.4,16,39,31,5,7,2,1,1,7,0,1,7,11,0.226,0.359,0.452,0.811,122,0.333,115,14,0,0,0,1,0
444,Logan Forsythe,,33,MIA,NL,-0.3,12,38,34,2,4,1,0,1,2,0,0,4,12,0.118,0.211,0.235,0.446,21,0.203,12,8,0,0,0,0,0
445,Kevan Smith,,32,TBR,AL,0.3,17,38,31,3,8,3,0,1,8,0,0,5,11,0.258,0.378,0.452,0.83,134,0.362,134,14,1,1,0,0,0
446,Steven Duggar*,,26,SFG,NL,-0.4,21,36,34,3,6,2,0,0,3,1,0,1,11,0.176,0.222,0.235,0.458,27,0.212,20,8,1,1,0,0,0
447,Mark Mathias,,25,MIL,NL,0.1,16,36,36,2,10,3,0,0,4,1,0,0,7,0.278,0.278,0.361,0.639,70,0.329,93,13,0,0,0,0,0
448,Billy Hamilton,,29,2TM,NL,0,31,36,32,10,4,0,0,1,2,6,2,2,7,0.125,0.171,0.219,0.39,6,0.184,-9,7,0,0,1,1,0
448,Billy Hamilton,,29,NYM,NL,-0.1,17,25,22,4,1,0,0,0,1,3,1,1,3,0.045,0.083,0.045,0.129,-63,0.075,-84,1,0,0,1,1,0
448,Billy Hamilton,,29,CHC,NL,0.2,14,11,10,6,3,0,0,1,1,3,1,1,4,0.3,0.364,0.6,0.964,154,0.423,154,6,0,0,0,0,0
449,Guillermo Heredia,,29,2TM,NL,0.1,15,36,33,6,7,0,0,2,5,1,0,3,9,0.212,0.278,0.394,0.672,82,0.299,78,13,0,0,0,0,0
449,Guillermo Heredia,,29,PIT,NL,0,8,18,16,2,3,0,0,0,2,1,0,2,4,0.188,0.278,0.188,0.465,31,0.241,32,3,0,0,0,0,0
449,Guillermo Heredia,,29,NYM,NL,0.1,7,18,17,4,4,0,0,2,3,0,0,1,5,0.235,0.278,0.588,0.866,130,0.357,124,10,0,0,0,0,0
450,Albert Almora,,26,CHC,NL,-0.1,28,34,30,4,5,1,0,0,1,0,0,3,9,0.167,0.265,0.2,0.465,29,0.223,26,6,0,1,0,0,0
451,Braden Bishop,,26,SEA,AL,0.1,12,34,30,2,5,2,0,0,4,1,0,2,10,0.167,0.242,0.233,0.476,35,0.255,51,7,0,1,1,0,0
452,Yoenis Céspedes,,34,NYM,NL,-0.1,8,34,31,3,5,1,0,2,4,0,0,2,15,0.161,0.235,0.387,0.622,68,0.294,81,12,1,1,0,0,0
453,Jonathan Davis,,28,TOR,AL,0.4,13,34,27,4,7,2,0,1,6,1,0,3,11,0.259,0.364,0.444,0.808,121,0.358,120,12,1,2,0,1,0
454,Jake Marisnick,,29,NYM,NL,0.2,16,34,33,4,11,3,0,2,5,0,0,1,10,0.333,0.353,0.606,0.959,158,0.419,168,20,0,0,0,0,0
455,Rob Refsnyder,,29,TEX,AL,0,15,34,30,4,6,1,0,0,1,0,0,2,11,0.2,0.265,0.233,0.498,40,0.228,34,7,0,1,0,1,0
456,Andrew Young,,26,ARI,NL,-0.1,12,34,26,3,5,2,0,1,4,0,0,5,10,0.192,0.382,0.385,0.767,110,0.352,116,10,0,3,0,0,0
457,Travis Demeritte,,25,DET,AL,0,18,33,29,5,5,1,0,0,4,0,0,3,14,0.172,0.273,0.207,0.48,36,0.232,36,6,0,1,0,0,0
458,Bryan Holaday,,32,BAL,AL,-0.3,20,33,31,5,5,1,0,0,4,0,0,2,9,0.161,0.212,0.194,0.406,12,0.21,17,6,1,0,0,0,0
459,Sam Huff,,22,TEX,AL,0.5,10,33,31,5,11,3,0,3,4,0,0,2,11,0.355,0.394,0.742,1.136,204,0.47,203,23,0,0,0,0,0
460,Wyatt Mathisen,,26,ARI,NL,0.2,9,33,27,5,6,0,0,2,5,0,0,5,12,0.222,0.364,0.444,0.808,118,0.354,118,12,0,1,0,0,0
461,Austin Allen*,,26,OAK,AL,-0.2,14,32,31,1,6,1,0,1,3,0,0,1,14,0.194,0.219,0.323,0.541,49,0.234,42,10,0,0,0,0,0
462,Greg Allen#,,27,2TM,2LG,0.1,16,32,26,4,4,1,0,1,4,2,0,3,10,0.154,0.281,0.308,0.589,62,0.283,61,8,0,2,0,1,0
462,Greg Allen#,,27,CLE,AL,0,15,28,25,3,4,1,0,1,4,1,0,1,9,0.16,0.214,0.32,0.534,44,0.238,33,8,0,1,0,1,0
462,Greg Allen#,,27,SDP,NL,0.1,1,4,1,1,0,0,0,0,0,1,0,2,1,0,0.75,0,0.75,138,0.594,253,0,0,1,0,0,0
463,Steven Souza Jr.,,31,CHC,NL,0,11,31,27,3,4,2,0,1,5,1,0,4,15,0.148,0.258,0.333,0.591,58,0.267,52,9,0,0,0,0,0
464,Erik Kratz,,40,NYY,AL,0.4,16,30,28,2,9,2,0,0,4,0,0,2,6,0.321,0.367,0.393,0.76,113,0.338,113,11,0,0,0,0,0
465,Jake Fraley*,,25,SEA,AL,0,7,29,26,3,4,1,1,0,0,2,1,2,11,0.154,0.241,0.269,0.511,44,0.227,39,7,0,1,0,0,0
466,Jesús Sánchez*,,22,MIA,NL,-0.5,10,29,25,1,1,1,0,0,2,0,0,4,11,0.04,0.172,0.08,0.252,-28,0.14,-32,2,1,0,0,0,0
